us_state,county,poverty_estimate,poverty_percentage
AR,Saline,"11,665",9.6
AR,Scott,"1,983",19.6
AR,Searcy,"1,740",22.4
AR,Sebastian,"19,923",15.9
AR,Sevier,"2,962",17.7
AR,Sharp,"4,007",23.3
AR,Stone,"2,378",19.3
AR,Union,"7,216",18.9
AR,Van Buren,"3,235",19.9
AR,Washington,"34,731",15.1
AR,White,"11,613",15.4
AR,Woodruff,"1,678",27.1
AR,Yell,"3,265",15.6
CA,California,"4,560,419",11.8
CA,Alameda,"146,315",8.9
CA,Alpine,193,17.2
CA,Amador,"3,462",9.8
CA,Butte,"34,503",16.1
CA,Calaveras,"5,477",12.1
CA,Colusa,"2,554",12.0
CA,Contra Costa,"90,482",7.9
CA,Del Norte,"4,445",17.9
CA,El Dorado,"16,649",8.7
CA,Fresno,"200,873",20.5
CA,Glenn,"3,397",12.1
CA,Humboldt,"25,136",19.1
CA,Imperial,"38,020",22.0
CA,Inyo,"2,071",11.7
CA,Kern,"164,817",19.0
CA,Kings,"21,840",16.0
CA,Lake,"11,622",18.3
CA,Lassen,"3,789",16.5
CA,Los Angeles,"1,319,242",13.4
CA,Madera,"26,309",17.6
CA,Marin,"17,357",6.9
CA,Mariposa,"2,565",15.1
CA,Mendocino,"11,980",14.0
CA,Merced,"46,011",17.0
CA,Modoc,"1,757",20.5
CA,Mono,"1,437",10.1
CA,Monterey,"52,484",12.6
CA,Napa,"9,897",7.4
CA,Nevada,"9,268",9.4
CA,Orange,"297,658",9.5
CA,Placer,"26,170",6.6
CA,Plumas,"2,432",13.2
CA,Riverside,"274,953",11.3
CA,Sacramento,"192,993",12.6
CA,San Benito,"6,518",10.4
CA,San Bernardino,"284,359",13.3
CA,San Diego,"335,034",10.3
CA,San Francisco,"82,616",9.5
CA,San Joaquin,"101,772",13.6
CA,San Luis Obispo,"31,180",11.6
CA,San Mateo,"46,328",6.1
CA,Santa Barbara,"51,298",12.0
CA,Santa Clara,"116,401",6.1
CA,Santa Cruz,"27,531",10.6
CA,Shasta,"23,508",13.3
CA,Sierra,375,12.7
CA,Siskiyou,"7,484",17.4
CA,Solano,"39,018",9.0
CA,Sonoma,"34,758",7.2
CA,Stanislaus,"70,741",13.0
CA,Sutter,"12,310",12.8
CA,Tehama,"10,484",16.3
CA,Trinity,"1,986",16.5
CA,Tulare,"86,940",18.9
CA,Tuolumne,"5,781",11.3
CA,Ventura,"68,482",8.2
CA,Yolo,"35,608",16.9
CA,Yuba,"11,748",15.2
CO,Colorado,"531,331",9.4
CO,Adams,"47,464",9.3
CO,Alamosa,"3,019",19.6
CO,Arapahoe,"47,072",7.2
CO,Archuleta,"1,502",10.8
CO,Baca,675,19.3
CO,Bent,"1,354",34.4
CO,Boulder,"33,965",10.7
CO,Broomfield,"2,865",4.1
CO,Chaffee,"2,070",11.0
CO,Cheyenne,243,13.7
CO,Clear Creek,709,7.4
CO,Conejos,"1,624",19.9
CO,Costilla,955,24.6
CO,Crowley,"1,249",40.0
CO,Custer,577,11.8
CO,Delta,"4,602",15.1
CO,Denver,"86,020",12.1
CO,Dolores,262,12.8
CO,Douglas,"9,622",2.7
CO,Eagle,"4,365",7.9
CO,Elbert,"1,514",5.7
CO,El Paso,"61,692",8.8
CO,Fremont,"6,361",16.1
CO,Garfield,"5,694",9.6
CO,Gilpin,421,6.8
CO,Grand,"1,271",8.1
CO,Gunnison,"1,920",11.6
CO,Hinsdale,72,8.9
CO,Huerfano,"1,349",20.0
CO,Jackson,175,12.6
CO,Jefferson,"41,258",7.2
CO,Kiowa,188,13.5
CO,Kit Carson,927,13.2
CO,Lake,913,11.4
CO,La Plata,"6,127",11.3
CO,Larimer,"35,894",10.3
CO,Las Animas,"2,407",17.6
CO,Lincoln,793,17.0
CO,Logan,"2,389",12.9
CO,Mesa,"16,840",11.2
CO,Mineral,72,9.4
CO,Moffat,"1,611",12.2
CO,Montezuma,"3,856",14.9
CO,Montrose,"5,565",13.2
CO,Morgan,"3,386",11.9
CO,Otero,"4,297",24.2
CO,Ouray,342,6.9
CO,Park,"1,602",8.6
