us_state,county,poverty_estimate,poverty_percentage
CO,Douglas,11114,3.4
VA,Loudoun,13511,3.5
VA,Falls Church  ,509,3.6
SD,Lincoln,2007,3.7
NM,Los Alamos,720,4.01
NH,Rockingham,12681,4.2
MN,Carver,4225,4.3
UT,Morgan,493,4.3
AK,Skagway Municipality,48,4.4
MN,Washington,11304,4.5
NJ,Hunterdon,5431,4.5
IL,Kendall,5778,4.6
OH,Delaware,9083,4.7
IL,Monroe,1599,4.8
IN,Hamilton,14927,4.8
IA,Dallas,4118,4.9
WI,Calumet,2462,5.01
VA,York,3417,5.1
MD,Howard,16536,5.2
MO,St. Charles,20198,5.2
NJ,Somerset,17318,5.2
TN,Williamson,11292,5.2
TX,Rockwall,4845,5.2
WI,Waukesha,20315,5.2
CO,Broomfield,3518,5.3
MN,Wright,6912,5.3
NJ,Morris,26615,5.4
OH,Warren,11823,5.4
VA,Poquoson  ,650,5.4
WI,Ozaukee,4626,5.4
MD,Carroll,8990,5.5
MN,Scott,7784,5.5
UT,Wasatch,1668,5.5
KS,Johnson,32380,5.6
MN,Dakota,23278,5.6
WI,St. Croix,4917,5.6
WI,Washington,7496,5.6
GA,Forsyth,12468,5.7
VA,Stafford,7935,5.7
IN,Hendricks,9008,5.8
MD,Calvert,5282,5.8
MI,Livingston,10912,5.8
NE,Sarpy,10294,5.8
OH,Geauga,5451,5.8
TX,Williamson,30201,5.8
VA,Fauquier,3978,5.8
VA,Hanover,5900,5.8
KY,Oldham,3582,5.9
VA,New Kent,1202,5.9
CO,Elbert,1516,6.01
GA,Fayette,6671,6.01
NJ,Sussex,8460,6.01
NY,Putnam,5844,6.01
UT,Summit,2412,6.01
VA,Fairfax,67736,6.01
MA,Norfolk,41497,6.1
MO,Platte,5915,6.1
NY,Nassau,82192,6.1
OH,Union,3194,6.1
NJ,Burlington,27083,6.2
PA,Montgomery,49697,6.2
AK,Denali,121,6.3
IA,Grundy,768,6.3
MN,Sherburne,5703,6.3
NY,Saratoga,14094,6.3
TX,Collin,58619,6.3
UT,Davis,21271,6.3
MA,Nantucket,697,6.4
VA,Goochland,1393,6.4
OH,Medina,11394,6.5
VA,James  ,4739,6.5
CA,San Mateo,50438,6.6
IL,Woodford,2515,6.6
IN,Dubois,2730,6.6
IA,Cedar,1207,6.6
ND,Mercer,561,6.6
PA,Bucks,40872,6.6
SD,Union,981,6.6
TX,Roberts,60,6.6
VA,Powhatan,1779,6.6
IA,Bremer,1557,6.7
MN,Chisago,3554,6.7
WY,Sublette,646,6.7
GA,Oconee,2480,6.8
IL,Piatt,1115,6.8
IA,Warren,3263,6.8
MN,Anoka,23240,6.8
ND,Williams,2292,6.8
VA,Frederick,5677,6.8
VA,King George,1728,6.8
VA,Fairfax  ,1611,6.8
CO,Pitkin,1227,6.9
MD,Frederick,16793,6.9
MD,Montgomery,71252,6.9
NJ,Bergen,63789,6.9
CO,Jefferson,39397,7.01
IL,DuPage,64330,7.01
IN,Boone,4481,7.01
MD,Anne Arundel,38816,7.01
NE,Washington,1405,7.01
PA,Chester,35349,7.01
VA,Chesterfield,23468,7.01
MN,Meeker,1604,7.1
NJ,Monmouth,43866,7.1
WI,Sheboygan,7934,7.1
AK,Anchorage,21108,7.2
CA,Placer,27340,7.2
CO,Routt,1766,7.2
CT,Litchfield,12952,7.2
CT,Tolland,9786,7.2
GA,Columbia,10512,7.2
IL,Will,48627,7.2
IA,Iowa,1156,7.2
MD,Harford,17769,7.2
ND,Burleigh,6505,7.2
SD,Sully,102,7.2
AK,Kodiak Island,991,7.3
IL,McHenry,22253,7.3
IN,Hancock,5327,7.3
IA,Lyon,840,7.3
IA,Sioux,2374,7.3
MD,Queen Anne's,3528,7.3
PA,Butler,13334,7.3
WY,Teton,1680,7.3
AK,Juneau,2334,7.4
MD,Charles,11536,7.4
MN,McLeod,2613,7.4
NE,Saunders,1524,7.4
NH,Merrimack,10532,7.4
TX,Kendall,3119,7.4
VA,Prince William,33308,7.4
VA,Roanoke,6774,7.4
VA,Spotsylvania,9648,7.4
CO,Gilpin,440,7.5
GA,Cherokee,17948,7.5
IN,Warrick,4615,7.5
KS,Scott,370,7.5
MT,Richland,859,7.5
VA,Arlington,17151,7.5
VA,Fluvanna,1867,7.5
IN,Johnson,11300,7.6
KY,Boone,9662,7.6
MA,Barnstable,15972,7.6
MA,Dukes,1302,7.6
MN,Wabasha,1595,7.6
NE,Cass,1920,7.6
NE,Stanton,449,7.6
NY,Suffolk,111341,7.6
WI,Kewaunee,1526,7.6
FL,St. Johns,17838,7.7
MA,Middlesex,117964,7.7
MN,Dodge,1560,7.7
MN,Goodhue,3513,7.7
MN,Isanti,2955,7.7
NE,Hamilton,697,7.7
NH,Strafford,9094,7.7
ND,Sargent,296,7.7
VA,King William,1248,7.7
WI,Fond du Lac,7631,7.7
CA,Marin,19932,7.8
IN,Porter,12749,7.8
IA,Benton,1975,7.8
IA,Dickinson,1332,7.8
IA,Madison,1218,7.8
MN,Roseau,1204,7.8
NV,Storey,316,7.8
NJ,Gloucester,22402,7.8
VA,Botetourt,2560,7.8
VA,Manassas Park  ,1231,7.8
AL,Shelby,16406,7.9
AK,Sitka,690,7.9
CA,Napa,10958,7.9
CO,Eagle,4239,7.9
CO,Summit,2398,7.9
CT,Middlesex,12513,7.9
IL,Grundy,3936,7.9
NE,Seward,1252,7.9
ND,McKenzie,981,7.9
PA,Cumberland,18620,7.9
SD,Stanley,237,7.9
VA,Clarke,1115,7.9
AK,Aleutians West,438,8.01
IL,Putnam,448,8.01
MA,Plymouth,39977,8.01
MN,Nicollet,2490,8.01
NE,Polk,408,8.01
NH,Hillsborough,31972,8.01
ND,Stark,2433,8.01
TX,Irion,125,8.01
WA,Snohomish,62396,8.01
WI,Outagamie,14548,8.01
CO,Clear Creek,753,8.1
HI,Kauai,5716,8.1
KS,Wabaunsee,549,8.1
ME,York,16132,8.1
MI,Leelanau,1739,8.1
ND,Ransom,421,8.1
TN,Wilson,10632,8.1
UT,Tooele,5189,8.1
WI,Pierce,3153,8.1
CO,Grand,1220,8.2
IN,Dearborn,3988,8.2
KS,Gray,487,8.2
KS,Miami,2644,8.2
KS,Pottawatomie,1917,8.2
MN,Brown,1993,8.2
NE,Hooker,56,8.2
ND,Bowman,262,8.2
ND,Renville,205,8.2
OH,Mercer,3308,8.2
RI,Bristol,3833,8.2
TX,Denton,65057,8.2
UT,Daggett,84,8.2
WI,Columbia,4561,8.2
WI,Green,3002,8.2
WI,Trempealeau,2391,8.2
NJ,Warren,8708,8.3
ND,Steele,162,8.3
OH,Henry,2258,8.3
OH,Putnam,2796,8.3
TX,Fort Bend,60925,8.3
VA,Virginia Beach  ,36494,8.3
WI,Door,2250,8.3
WY,Crook,613,8.3
AK,Petersburg,265,8.4
IA,Plymouth,2091,8.4
MI,Barry,4932,8.4
MI,Clinton,6509,8.4
MN,Le Sueur,2289,8.4
MO,Clay,19868,8.4
MT,Stillwater,784,8.4
ND,Traill,642,8.4
OK,Canadian,11232,8.4
VA,Greene,1618,8.4
WY,Campbell,4067,8.4
AK,Fairbanks North Star,8144,8.5
HI,Honolulu,81341,8.5
IN,Tipton,1268,8.5
IA,Marion,2725,8.5
MN,Benton,3345,8.5
MN,Houston,1585,8.5
MT,Fallon,262,8.5
NE,Dixon,480,8.5
SD,Hughes,1430,8.5
VA,Albemarle,8524,8.5
CT,Fairfield,79966,8.6
GA,Paulding,13373,8.6
MN,Douglas,3172,8.6
MN,Olmsted,13027,8.6
MO,Osage,1139,8.6
NH,Cheshire,6078,8.6
NJ,Middlesex,69642,8.6
OH,Lake,19364,8.6
OH,Wyandot,1881,8.6
SD,Lake,1049,8.6
TX,Carson,519,8.6
TX,Comal,11496,8.6
VA,Chesapeake  ,20071,8.6
WY,Lincoln,1631,8.6
AR,Saline,10160,8.7
CA,Contra Costa,97573,8.7
CA,El Dorado,16073,8.7
GA,Harris,2883,8.7
IL,Lake,59478,8.7
IN,Posey,2192,8.7
MI,Oakland,106650,8.7
MN,Jackson,858,8.7
MO,Cass,8792,8.7
NE,Cuming,772,8.7
NC,Camden,902,8.7
OR,Clackamas,35366,8.7
TX,Glasscock,114,8.7
CO,Ouray,426,8.8
IL,Tazewell,11526,8.8
IA,Carroll,1762,8.8
IA,Hancock,947,8.8
IA,Mills,1276,8.8
KS,Leavenworth,6464,8.8
KY,Spencer,1601,8.8
MT,Jefferson,1032,8.8
MT,Yellowstone,13581,8.8
ND,Ward,5903,8.8
SD,Hanson,282,8.8
VT,Grand Isle,609,8.8
WI,Iowa,2063,8.8
WY,Johnson,737,8.8
IA,Worth,662,8.9
KS,Butler,5745,8.9
KS,Jackson,1173,8.9
MN,Chippewa,1066,8.9
MN,Wilkin,553,8.9
NE,Butler,702,8.9
ND,Billings,83,8.9
ND,Foster,287,8.9
ND,Morton,2679,8.9
OH,Fulton,3719,8.9
OH,Van Wert,2489,8.9
UT,Beaver,572,8.9
CO,Arapahoe,56898,9.01
IN,De Kalb,3780,9.01
IN,Whitley,2954,9.01
IA,Shelby,1037,9.01
MD,Baltimore,72978,9.01
MI,Allegan,10303,9.01
MI,Ottawa,24520,9.01
NE,Platte,2920,9.01
NC,Union,20266,9.01
ND,Burke,196,9.01
OR,Washington,51702,9.01
RI,Newport,7120,9.01
SD,Hand,295,9.01
WA,Clark,41909,9.01
WY,Converse,1272,9.01
AR,Benton,23131,9.1
CO,Garfield,5276,9.1
IN,Spencer,1847,9.1
IN,Warren,731,9.1
IA,Clay,1457,9.1
MD,St. Mary's,9977,9.1
MN,Lake,946,9.1
MN,Pope,991,9.1
MN,Redwood,1359,9.1
MN,Sibley,1328,9.1
MN,Steele,3315,9.1
NE,Kearney,584,9.1
ND,Pembina,629,9.1
OK,Rogers,8185,9.1
PA,Franklin,13779,9.1
PA,Perry,4082,9.1
TX,Randall,11784,9.1
WI,Oconto,3364,9.1
AK,Ketchikan Gateway,1245,9.2
AK,Valdez-Cordova,852,9.2
CO,Park,1572,9.2
IA,Boone,2389,9.2
