us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
AL,Baldwin,12/31/2019,271,237,34,0,0,0,0,80,52,37,0,0,220,0,51,0
AL,Clay,12/31/2019,107,97,10,0,0,0,0,67,50,30,0,0,0,0,107,0
AL,Colbert,12/31/2019,263,252,11,0,0,0,0,61,47,37,0,0,228,0,35,0
AL,DeKalb,12/31/2019,361,324,37,0,0,0,0,90,51,39,0,0,331,0,30,0
AL,Elmore,12/31/2019,228,208,20,0,0,0,0,100,50,39,0,0,228,0,0,0
AL,Etowah,12/31/2019,279,232,47,0,0,0,0,90,58,43,0,0,218,0,61,0
AL,Houston,12/31/2019,280,256,24,0,0,0,0,77,50,35,0,0,208,0,72,0
AL,Jefferson,12/31/2019,365,157,195,13,0,0,0,150,79,53,0,2,122,4,236,1
AL,Lawrence,12/31/2019,112,111,1,0,0,0,0,53,38,24,0,0,0,0,112,0
AL,Madison,12/31/2019,361,255,106,0,0,0,0,93,58,44,0,0,155,0,199,7
AL,Mobile,12/31/2019,364,258,106,0,0,0,0,80,60,42,0,0,105,16,243,0
AL,Montgomery,12/31/2019,365,171,193,1,0,0,0,122,67,52,0,0,50,0,314,1
AL,Morgan,12/31/2019,365,306,59,0,0,0,0,93,54,41,0,0,195,0,170,0
AL,Russell,12/31/2019,363,268,95,0,0,0,0,84,59,40,0,0,116,0,247,0
AL,Shelby,12/31/2019,359,308,44,7,0,0,0,119,58,34,0,0,232,127,0,0
AL,Sumter,12/31/2019,361,335,26,0,0,0,0,64,48,32,0,0,183,10,168,0
AL,Tuscaloosa,12/31/2019,264,240,24,0,0,0,0,87,50,35,0,0,188,0,76,0
AK,Aleutians East ,12/31/2019,121,121,0,0,0,0,0,47,22,10,0,0,0,0,121,0
AK,Anchorage ,12/31/2019,365,289,67,5,4,0,0,160,63,27,8,0,0,0,252,105
AK,Bethel ,12/31/2019,317,304,11,1,1,0,0,176,31,10,0,0,0,0,186,131
AK,Denali ,12/31/2019,361,355,4,1,1,0,0,161,44,36,0,0,350,0,11,0
AK,Fairbanks North Star ,12/31/2019,365,230,96,18,16,1,4,377,103,38,0,13,130,1,215,6
AK,Juneau ,12/31/2019,362,308,51,3,0,0,0,145,55,20,0,0,0,0,335,27
AK,Kenai Peninsula ,12/31/2019,118,115,2,1,0,0,0,140,21,8,0,0,0,0,118,0
AK,Matanuska-Susitna ,12/31/2019,361,295,63,3,0,0,0,127,63,19,0,0,0,0,291,70
AK,North Slope ,12/31/2019,110,109,1,0,0,0,0,65,11,5,0,0,0,0,110,0
AZ,Apache,12/31/2019,359,358,1,0,0,0,0,59,20,10,0,0,0,0,36,323
AZ,Cochise,12/31/2019,365,266,99,0,0,0,0,97,64,45,0,0,327,0,13,25
AZ,Coconino,12/31/2019,365,289,76,0,0,0,0,80,61,45,0,0,356,0,9,0
AZ,Gila,12/31/2019,365,145,164,50,6,0,0,187,110,60,0,0,254,104,0,7
AZ,La Paz,12/31/2019,364,304,60,0,0,0,0,77,58,44,0,0,360,0,3,1
AZ,Maricopa,12/31/2019,365,66,261,38,0,0,0,147,101,65,0,3,215,0,71,76
AZ,Mohave,12/31/2019,365,358,7,0,0,0,0,69,27,14,0,0,0,0,28,337
AZ,Navajo,12/31/2019,365,294,70,1,0,0,0,112,58,44,0,0,357,0,0,8
AZ,Pima,12/31/2019,365,225,138,2,0,0,0,103,71,47,0,1,261,0,20,83
AZ,Pinal,12/31/2019,365,123,209,21,2,3,7,886,100,63,0,0,168,0,36,161
AZ,Santa Cruz,12/31/2019,362,280,80,2,0,0,0,120,63,31,0,0,0,0,245,117
AZ,Yavapai,12/31/2019,357,299,58,0,0,0,0,87,54,43,0,0,355,0,2,0
AZ,Yuma,12/31/2019,365,265,97,3,0,0,0,129,67,45,0,0,273,0,42,50
AR,Arkansas,12/31/2019,118,101,17,0,0,0,0,77,53,30,0,0,0,0,118,0
