us_state,county,poverty_estimate,poverty_percentage
CO,Douglas,8975,2.6
TX,Loving,5,3.3
VA,Loudoun,14700,3.6
VA,Falls Church,535,3.6
MN,Carver,3945,3.8
TN,Williamson,8794,3.8
NM,Los Alamos,733,3.9
UT,Morgan,478,4.01
OH,Delaware,8271,4.1
IL,Kendall,5332,4.2
IN,Hamilton,13797,4.2
MN,Washington,10755,4.2
WI,Ozaukee,3674,4.2
AK,Skagway Municipality,49,4.3
IL,Monroe,1446,4.3
NJ,Hunterdon,5317,4.4
SD,Lincoln,2585,4.4
WI,Washington,6059,4.5
NJ,Morris,22980,4.7
WI,St. Croix,4179,4.7
CO,Broomfield,3364,4.9
MN,Wright,6639,4.9
NJ,Somerset,16112,4.9
CO,Elbert,1312,5.01
GA,Fayette,5689,5.01
GA,Forsyth,11808,5.01
MI,Livingston,9560,5.01
OH,Union,2724,5.01
WI,Waukesha,19937,5.01
TX,Rockwall,5125,5.1
VA,Poquoson,618,5.1
IA,Dallas,4687,5.2
MD,Howard,16874,5.2
MN,Scott,7563,5.2
NJ,Sussex,7233,5.2
OH,Warren,11709,5.2
VA,Hanover,5509,5.2
VA,New Kent,1132,5.2
NH,Rockingham,16270,5.3
UT,Wasatch,1750,5.3
WI,Calumet,2623,5.3
IN,Boone,3585,5.4
MD,Calvert,4912,5.4
VA,Stafford,7822,5.4
KS,Johnson,32334,5.5
OH,Putnam,1835,5.5
VA,York,3690,5.5
IN,Hancock,4236,5.6
KY,Oldham,3463,5.6
MN,Anoka,19568,5.6
GA,Oconee,2215,5.7
MO,St. Charles,22272,5.7
NE,Sarpy,10399,5.7
OH,Geauga,5341,5.7
PA,Bucks,35350,5.7
UT,Davis,19798,5.7
MO,Platte,5925,5.8
NY,Nassau,77883,5.8
IL,Grundy,2991,5.9
IL,McHenry,18136,5.9
IN,Hendricks,9657,5.9
MA,Nantucket,669,5.9
PA,Montgomery,47317,5.9
SD,Union,915,5.9
MD,Carroll,9828,6.01
NY,Putnam,5863,6.01
MN,Dodge,1266,6.1
VA,Fairfax,69377,6.1
VA,Fauquier,4260,6.1
MD,Frederick,15552,6.2
MA,Plymouth,31285,6.2
NJ,Burlington,26786,6.2
UT,Summit,2570,6.2
IA,Sioux,2069,6.3
MN,Dakota,26434,6.3
NY,Saratoga,14319,6.3
VA,Arlington,14842,6.3
WY,Teton,1443,6.3
IL,Will,44038,6.4
KY,Boone,8371,6.4
MN,Chisago,3508,6.4
TX,Collin,64180,6.4
TX,Williamson,35829,6.4
VA,Prince William,29545,6.4
MD,Queen Anne's,3237,6.5
MA,Norfolk,44959,6.5
MN,Sherburne,6098,6.5
