us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
AL,Baldwin,12/31/2017,270,241,28,1,0,0,0,108,51,36,0,0,206,0,64,0
AL,Clay,12/31/2017,118,104,14,0,0,0,0,66,52,30,0,0,0,0,118,0
AL,Colbert,12/31/2017,283,265,18,0,0,0,0,63,48,37,0,0,218,0,65,0
AL,DeKalb,12/31/2017,359,329,30,0,0,0,0,80,50,39,0,0,315,0,44,0
AL,Elmore,12/31/2017,226,221,5,0,0,0,0,58,45,35,0,0,226,0,0,0
AL,Etowah,12/31/2017,360,233,125,1,1,0,0,163,62,45,0,0,133,0,227,0
AL,Houston,12/31/2017,281,260,20,1,0,0,0,131,48,35,0,0,203,0,78,0
AL,Jefferson,12/31/2017,365,144,212,9,0,0,0,129,76,55,0,2,85,70,207,1
AL,Lawrence,12/31/2017,122,114,8,0,0,0,0,80,43,23,0,0,0,0,122,0
AL,Madison,12/31/2017,335,301,34,0,0,0,0,100,51,39,0,0,230,0,49,56
AL,Mobile,12/31/2017,363,299,59,5,0,0,0,139,55,37,0,0,191,5,167,0
AL,Montgomery,12/31/2017,346,214,129,2,0,1,0,221,63,45,0,0,119,0,227,0
AL,Morgan,12/31/2017,364,317,47,0,0,0,0,80,52,39,0,0,184,0,180,0
AL,Russell,12/31/2017,311,228,83,0,0,0,0,87,62,44,0,0,173,0,138,0
AL,Shelby,12/31/2017,357,333,23,1,0,0,0,103,48,31,0,0,232,125,0,0
AL,Sumter,12/31/2017,350,330,20,0,0,0,0,83,48,34,0,0,183,0,167,0
AL,Talladega,12/31/2017,116,92,24,0,0,0,0,70,55,33,0,0,0,0,116,0
AL,Tuscaloosa,12/31/2017,350,165,184,1,0,0,0,123,67,52,0,0,64,0,286,0
AK,Aleutians East ,12/31/2017,118,118,0,0,0,0,0,29,18,9,0,0,0,0,118,0
AK,Anchorage ,12/31/2017,365,313,51,1,0,0,0,105,57,22,6,0,0,0,208,151
AK,Denali ,12/31/2017,360,360,0,0,0,0,0,49,42,34,0,0,357,0,3,0
AK,Fairbanks North Star ,12/31/2017,365,240,80,25,20,0,0,180,115,38,0,11,111,1,242,0
AK,Juneau ,12/31/2017,356,311,44,1,0,0,0,103,54,15,0,0,0,0,353,3
AK,Kenai Peninsula ,12/31/2017,67,67,0,0,0,0,0,23,12,6,0,0,0,0,67,0
