us_state,county,poverty_estimate,poverty_percentage
MN,Roseau,1250,8.3
MT,Lewis and Clark,5474,8.3
NE,Cedar,692,8.3
NE,Cuming,733,8.3
NH,Belknap,4953,8.3
ND,Morton,2513,8.3
ND,Pembina,563,8.3
OR,Clackamas,34173,8.3
SD,Sully,116,8.3
VT,Addison,2846,8.3
VA,Greene,1603,8.3
VA,Virginia Beach city,36669,8.3
WA,Kitsap,21357,8.3
CA,San Benito,5029,8.4
IN,Shelby,3666,8.4
IA,Hancock,891,8.4
IA,Shelby,954,8.4
MN,Lake,869,8.4
MT,Jefferson,983,8.4
NE,Kearney,539,8.4
ND,Bowman,262,8.4
PA,Butler,15242,8.4
TN,Wilson,11336,8.4
VA,Rockingham,6611,8.4
CO,Mineral,65,8.5
ID,Blaine,1860,8.5
ID,Valley,901,8.5
IN,Whitley,2822,8.5
IA,Worth,628,8.5
KS,Jefferson,1584,8.5
KS,McPherson,2341,8.5
MD,St. Mary's,9386,8.5
MI,Emmet,2766,8.5
MT,Stillwater,798,8.5
NE,Butler,671,8.5
NJ,Middlesex,69518,8.5
NY,Westchester,81192,8.5
ND,McKenzie,1066,8.5
RI,Kent,13853,8.5
TX,Carson,510,8.5
TX,Ellis,14521,8.5
VA,Isle of Wight,3087,8.5
WI,Jefferson,7012,8.5
CO,Hinsdale,67,8.6
CO,Park,1526,8.6
CT,New London,22246,8.6
IN,Wells,2348,8.6
MD,Prince George's,76564,8.6
MN,Jackson,839,8.6
NE,Hooker,56,8.6
NE,Platte,2807,8.6
ND,Cass,14859,8.6
WI,Dodge,7001,8.6
WI,Fond du Lac,8544,8.6
CO,Grand,1332,8.7
IL,Menard,1054,8.7
IA,Hamilton,1289,8.7
MI,Eaton,9278,8.7
MI,Lapeer,7531,8.7
MS,DeSoto,15440,8.7
MT,Richland,957,8.7
ND,Griggs,192,8.7
OH,Auglaize,3936,8.7
OH,Clermont,17597,8.7
OH,Lake,19693,8.7
VA,Manassas city,3595,8.7
WI,Iowa,2052,8.7
CO,Teller,2151,8.8
CT,Fairfield,82428,8.8
IL,Boone,4676,8.8
IN,Johnson,13267,8.8
MI,Barry,5253,8.8
MN,Cook,471,8.8
MN,Nicollet,2778,8.8
NE,Dixon,494,8.8
NE,Phelps,774,8.8
OH,Wyandot,1912,8.8
TN,Sumner,15921,8.8
TX,Randall,11635,8.8
WI,Trempealeau,2532,8.8
IN,Tipton,1331,8.9
NE,Logan,68,8.9
NC,Wake,93924,8.9
OH,Licking,15130,8.9
OH,Ottawa,3561,8.9
RI,Washington,10592,8.9
TX,Comal,12473,8.9
TX,Hartley,408,8.9
TX,Montgomery,50397,8.9
VT,Franklin,4308,8.9
VA,Augusta,6411,8.9
VA,Rappahannock,651,8.9
IL,Moultrie,1288,9.01
IA,Buchanan,1880,9.01
IA,Butler,1296,9.01
IA,Jasper,3163,9.01
IA,Linn,19688,9.01
IA,Winneshiek,1621,9.01
NV,Eureka,175,9.01
ND,Stark,2668,9.01
OH,Fairfield,13614,9.01
OH,Holmes,3885,9.01
OH,Miami,9387,9.01
RI,Newport,7164,9.01
SD,Hamlin,521,9.01
SD,Minnehaha,16492,9.01
TX,Brazoria,31735,9.01
VA,Bedford,6949,9.01
WI,Oconto,3339,9.01
AR,Benton,24110,9.1
CA,Contra Costa,103883,9.1
FL,Nassau,7484,9.1
FL,Sumter,10672,9.1
ID,Caribou,630,9.1
IL,Tazewell,11896,9.1
IN,Posey,2290,9.1
IA,Carroll,1822,9.1
IA,Ida,614,9.1
IA,Mitchell,948,9.1
KS,Harvey,3021,9.1
MD,Talbot,3347,9.1
MN,Meeker,2070,9.1
MT,Fallon,270,9.1
NE,Otoe,1429,9.1
NC,Union,20824,9.1
ND,Burke,193,9.1
ND,McLean,862,9.1
PA,Pike,5023,9.1
SD,Meade,2476,9.1
TX,Wilson,4414,9.1
VA,Orange,3231,9.1
WY,Sheridan,2673,9.1
AK,Valdez-Cordova,845,9.2
CO,La Plata,4961,9.2
FL,Sarasota,38065,9.2
ID,Camas,101,9.2
ID,Jefferson,2603,9.2
IL,Kane,48756,9.2
IA,Kossuth,1363,9.2
IA,Mills,1349,9.2
KY,Bullitt,7345,9.2
MN,Grant,534,9.2
MO,Cass,9435,9.2
MO,Osage,1217,9.2
NE,Boone,483,9.2
NE,Colfax,962,9.2
NE,Gosper,182,9.2
NE,Wheeler,75,9.2
ND,Billings,86,9.2
OH,Darke,4693,9.2
SD,Deuel,390,9.2
SD,Hanson,298,9.2
UT,Beaver,583,9.2
UT,Rich,220,9.2
UT,Salt Lake,103384,9.2
WA,Island,7467,9.2
WI,Manitowoc,7178,9.2
WY,Converse,1260,9.2
CA,Alameda,152087,9.3
CA,Mono,1313,9.3
CA,Sonoma,46165,9.3
IL,Jo Daviess,1980,9.3
IN,Ohio,533,9.3
IA,Clay,1470,9.3
IA,Delaware,1571,9.3
KY,Woodford,2415,9.3
MI,Grand Traverse,8468,9.3
MN,Carlton,3158,9.3
MN,Rock,859,9.3
MN,Steele,3392,9.3
MN,Wilkin,575,9.3
MS,Rankin,13642,9.3
NE,Chase,361,9.3
NE,Perkins,267,9.3
NH,Carroll,4424,9.3
NJ,Union,52052,9.3
NY,Ontario,9905,9.3
PA,Monroe,15190,9.3
TX,Guadalupe,14624,9.3
TX,Irion,141,9.3
TX,Kaufman,11316,9.3
VA,Warren,3583,9.3
VA,Chesapeake city,21928,9.3
WA,King,200415,9.3
WI,Polk,3970,9.3
CO,Weld,28171,9.4
GA,Dawson,2258,9.4
IN,Franklin,2111,9.4
IN,Harrison,3699,9.4
IA,Humboldt,888,9.4
IA,Winnebago,949,9.4
MI,Benzie,1627,9.4
MN,Kanabec,1485,9.4
MN,Kittson,389,9.4
MN,Marshall,873,9.4
MT,Carbon,999,9.4
NH,Cheshire,6687,9.4
NH,Grafton,7770,9.4
NH,Strafford,11176,9.4
NC,Dare,3364,9.4
ND,Oliver,181,9.4
PA,Washington,18913,9.4
PA,York,40966,9.4
SD,McCook,495,9.4
SD,Potter,202,9.4
TX,Glasscock,127,9.4
VT,Washington,5252,9.4
WI,Buffalo,1228,9.4
WI,Oneida,3262,9.4
WY,Campbell,4271,9.4
WY,Park,2694,9.4
CA,Ventura,80217,9.5
CO,Rio Blanco,579,9.5
GA,Cobb,71120,9.5
IA,Chickasaw,1130,9.5
IA,Guthrie,995,9.5
IA,Jones,1834,9.5
IA,Polk,45028,9.5
IA,Tama,1594,9.5
IA,Washington,2070,9.5
MI,Allegan,10969,9.5
NE,Pierce,668,9.5
ND,Adams,215,9.5
OH,Defiance,3547,9.5
PA,Perry,4331,9.5
TX,Chambers,3914,9.5
VA,Henrico,30836,9.5
VA,Shenandoah,4047,9.5
WY,Johnson,792,9.5
AK,Anchorage,27663,9.6
IN,Carroll,1910,9.6
IA,Cherokee,1048,9.6
IA,Clayton,1671,9.6
MO,Ralls,976,9.6
ND,Cavalier,352,9.6
OH,Madison,3743,9.6
VA,Caroline,2859,9.6
IL,Effingham,3256,9.7
IL,Marshall,1109,9.7
IL,Ogle,4866,9.7
IN,Dearborn,4752,9.7
KS,Logan,269,9.7
ME,Sagadahoc,3416,9.7
MD,Cecil,9862,9.7
MN,Benton,3820,9.7
MN,Lake of the Woods,358,9.7
MN,Pipestone,856,9.7
MO,Perry,1837,9.7
NY,Warren,6184,9.7
ND,Mountrail,981,9.7
ND,Stutsman,1880,9.7
OH,Hancock,7150,9.7
OR,Deschutes,17932,9.7
PA,Franklin,14759,9.7
TX,Loving,13,9.7
VA,Mathews,842,9.7
WI,Brown,24743,9.7
WY,Laramie,9294,9.7
GA,Effingham,5772,9.8
GA,Henry,22065,9.8
IL,Douglas,1907,9.8
IN,Noble,4560,9.8
IA,Dubuque,9131,9.8
KS,Gove,252,9.8
KS,Pottawatomie,2312,9.8
KY,Nelson,4413,9.8
MN,Crow Wing,6220,9.8
MN,Lac qui Parle,641,9.8
MO,Lincoln,5436,9.8
MT,Broadwater,574,9.8
MT,Gallatin,10195,9.8
NY,Hamilton,436,9.8
OH,Greene,15587,9.8
OK,Kingfisher,1518,9.8
PA,Delaware,53255,9.8
SD,Campbell,134,9.8
VA,Gloucester,3598,9.8
VA,Colonial Heights city,1718,9.8
AK,Ketchikan Gateway,1341,9.9
FL,Clay,20889,9.9
IN,Morgan,6799,9.9
IA,Louisa,1095,9.9
KS,Dickinson,1829,9.9
KS,Meade,412,9.9
MD,Worcester,5050,9.9
MN,Yellow Medicine,957,9.9
MO,Christian,8373,9.9
NY,Tioga,4764,9.9
OH,Preble,4017,9.9
PA,Elk,2937,9.9
PA,Lancaster,52380,9.9
PA,Montour,1739,9.9
PA,Westmoreland,34404,9.9
TN,Moore,619,9.9
UT,Garfield,484,9.9
VT,Windsor,5385,9.9
VA,Culpeper,4900,9.9
WI,Sauk,6266,9.9
CA,Solano,43352,10.01
HI,Maui,16342,10.01
IN,Jasper,3244,10.01
IN,Warren,807,10.01
IA,Harrison,1390,10.01
IA,Wright,1259,10.01
KS,Washington,536,10.01
MN,Redwood,1492,10.01
MO,St. Louis,97993,10.01
MT,Madison,805,10.01
MT,Sweet Grass,362,10.01
NE,Grant,65,10.01
NE,Howard,635,10.01
ND,Bottineau,628,10.01
ND,Divide,223,10.01
ND,Richland,1535,10.01
OK,Wagoner,7778,10.01
PA,Northampton,29356,10.01
SC,Dorchester,15362,10.01
SD,Grant,704,10.01
TX,Hemphill,397,10.01
WI,Green Lake,1858,10.01
WI,Marathon,13353,10.01
WY,Sweetwater,4253,10.01
AL,Baldwin,21199,10.1
AZ,Greenlee,948,10.1
CA,San Francisco,87314,10.1
HI,Kauai,7172,10.1
IA,Howard,910,10.1
IA,Osceola,597,10.1
IA,Sac,968,10.1
KS,Butler,6515,10.1
KS,Haskell,404,10.1
MI,Charlevoix,2598,10.1
MO,Warren,3444,10.1
NE,York,1307,10.1
NY,Dutchess,28178,10.1
ND,Towner,225,10.1
ND,Ward,6670,10.1
OK,Rogers,9039,10.1
SD,Lake,1222,10.1
TN,Rutherford,31372,10.1
TX,Archer,882,10.1
VA,Bath,428,10.1
VA,Dinwiddie,2781,10.1
VA,Alexandria city,15922,10.1
WI,Chippewa,6158,10.1
AK,Kenai Peninsula,5840,10.2
FL,Santa Rosa,17183,10.2
IN,Huntington,3570,10.2
IA,Adair,705,10.2
KS,Coffey,824,10.2
KS,Lane,158,10.2
KS,Stanton,205,10.2
MA,Essex,78610,10.2
MA,Hampshire,14206,10.2
MT,Daniels,173,10.2
NE,Cheyenne,976,10.2
NE,Merrick,787,10.2
NJ,Ocean,60406,10.2
OH,Paulding,1902,10.2
SD,Hyde,130,10.2
SD,Turner,829,10.2
UT,Juab,1136,10.2
WA,Clark,48088,10.2
WA,Pierce,87596,10.2
WY,Uinta,2067,10.2
IL,Cumberland,1102,10.3
IL,Jersey,2164,10.3
IL,Shelby,2214,10.3
IA,Emmet,922,10.3
KS,Stevens,569,10.3
MN,Fillmore,2113,10.3
MN,Otter Tail,5895,10.3
MN,Pennington,1423,10.3
MN,Red Lake,412,10.3
MN,Stevens,893,10.3
MN,Waseca,1834,10.3
MO,Ray,2315,10.3
MT,Yellowstone,15983,10.3
NH,Sullivan,4369,10.3
NC,Chatham,7305,10.3
ND,LaMoure,414,10.3
ND,Walsh,1098,10.3
SD,Hughes,1742,10.3
SD,Kingsbury,494,10.3
SD,Spink,629,10.3
WA,San Juan,1697,10.3
WI,Lincoln,2791,10.3
GA,Bryan,3828,10.4
GA,Coweta,14806,10.4
IN,De Kalb,4365,10.4
IN,Gibson,3399,10.4
IN,Kosciusko,8000,10.4
IN,Pike,1257,10.4
IN,Porter,17078,10.4
IN,Spencer,2086,10.4
IA,Greene,922,10.4
IA,Palo Alto,916,10.4
KY,Anderson,2329,10.4
KY,Scott,5552,10.4
MA,Franklin,7218,10.4
MA,Worcester,82794,10.4
MI,Kent,66316,10.4
MI,Lenawee,9679,10.4
MN,Lincoln,578,10.4
MN,Renville,1488,10.4
MO,Franklin,10588,10.4
NE,Harlan,353,10.4
NJ,Cape May,9486,10.4
OK,McClain,4078,10.4
TN,Maury,9474,10.4
TX,Burnet,4722,10.4
TX,Johnson,17019,10.4
TX,Somervell,901,10.4
VT,Orange,2943,10.4
WV,Jefferson,5751,10.4
WV,Putnam,5854,10.4
WI,Taylor,2083,10.4
WY,Platte,881,10.4
ID,Bonneville,11982,10.5
IL,Calhoun,499,10.5
IN,Floyd,7971,10.5
IN,White,2501,10.5
KS,Franklin,2645,10.5
KS,Kearny,405,10.5
MN,Chippewa,1241,10.5
MN,Hennepin,129217,10.5
MN,Morrison,3413,10.5
NV,Humboldt,1748,10.5
NY,Columbia,6233,10.5
ND,Dickey,493,10.5
ND,Dunn,444,10.5
SD,Hand,339,10.5
UT,Utah,62063,10.5
WA,Thurston,29034,10.5
CO,Adams,52536,10.6
FL,Indian River,16249,10.6
ID,Kootenai,16542,10.6
IL,Mercer,1636,10.6
IN,Bartholomew,8555,10.6
IN,Clark,12285,10.6
IA,Pottawattamie,9661,10.6
KS,Clay,825,10.6
MA,Berkshire,12744,10.6
MN,Kandiyohi,4431,10.6
MN,Mower,4142,10.6
NE,Saline,1411,10.6
NV,Elko,5476,10.6
NY,Essex,3778,10.6
ND,Eddy,237,10.6
ND,Golden Valley,183,10.6
OR,Hood River,2444,10.6
TX,Armstrong,193,10.6
TX,Blanco,1224,10.6
TX,Hood,6074,10.6
WI,Walworth,10618,10.6
WI,Waupaca,5269,10.6
WY,Weston,699,10.6
GA,Gwinnett,97757,10.7
GA,Pike,1920,10.7
IL,Bureau,3506,10.7
IN,Union,758,10.7
IA,Audubon,584,10.7
IA,Muscatine,4522,10.7
ME,Knox,4099,10.7
MI,Midland,8792,10.7
MS,Madison,11031,10.7
MO,Jefferson,23704,10.7
MT,Dawson,907,10.7
NE,Gage,2274,10.7
NC,Currituck,2785,10.7
NC,Henderson,12263,10.7
NC,Moore,10303,10.7
ND,Barnes,1094,10.7
OH,Butler,39242,10.7
OH,Knox,6165,10.7
OH,Williams,3830,10.7
SC,Beaufort,19418,10.7
SD,Edmunds,396,10.7
SD,Moody,689,10.7
TX,Austin,3153,10.7
TX,Midland,17528,10.7
VA,Prince George,3590,10.7
WI,Pepin,761,10.7
WI,Wood,7704,10.7
WY,Washakie,845,10.7
CO,El Paso,73008,10.8
FL,Charlotte,19300,10.8
FL,Manatee,41057,10.8
GA,Pickens,3364,10.8
ID,Ada,47955,10.8
IN,Elkhart,21670,10.8
IA,Cerro Gordo,4507,10.8
KS,Greeley,132,10.8
KS,Hodgeman,196,10.8
KS,Marshall,1032,10.8
KY,Shelby,4955,10.8
MO,Ste. Genevieve,1885,10.8
MT,Wibaux,107,10.8
NE,Clay,657,10.8
NE,Holt,1088,10.8
NV,Lyon,5779,10.8
NY,Genesee,6075,10.8
NY,Madison,7179,10.8
ND,Wells,425,10.8
OH,Wood,13328,10.8
PA,Lebanon,14717,10.8
TX,Fayette,2675,10.8
UT,Grand,1036,10.8
UT,Weber,26782,10.8
VT,Chittenden,16489,10.8
VT,Rutland,6106,10.8
VA,Louisa,3851,10.8
VA,Salem city,2567,10.8
AK,Bristol Bay,92,10.9
CA,Amador,3762,10.9
CO,Phillips,460,10.9
FL,Martin,17002,10.9
FL,Okaloosa,21667,10.9
GA,Lee,3121,10.9
IL,Edwards,697,10.9
IN,Brown,1614,10.9
IN,Newton,1515,10.9
IN,Ripley,3053,10.9
IA,Monroe,839,10.9
KS,Marion,1225,10.9
KS,Morton,289,10.9
KS,Rooks,539,10.9
KY,Campbell,9700,10.9
NE,Red Willow,1124,10.9
NY,Orange,40379,10.9
ND,Nelson,312,10.9
SD,Aurora,289,10.9
SD,Brown,4141,10.9
SD,Harding,132,10.9
TX,Gillespie,2851,10.9
UT,Kane,796,10.9
WI,Lafayette,1801,10.9
WI,Racine,20857,10.9
CA,Nevada,10889,11.01
CO,Larimer,36954,11.01
CO,Moffat,1428,11.01
CT,Hartford,96200,11.01
CT,New Haven,91639,11.01
IL,Clark,1697,11.01
IL,Henry,5318,11.01
IN,Steuben,3634,11.01
IA,Allamakee,1495,11.01
IA,Clarke,1012,11.01
KS,Jackson,1440,11.01
ME,Hancock,5914,11.01
MN,Mille Lacs,2782,11.01
MN,Stearns,16561,11.01
MT,Flathead,10824,11.01
MT,Sheridan,372,11.01
NV,Carson City,5679,11.01
OH,Champaign,4190,11.01
OR,Yamhill,11056,11.01
TN,Cheatham,4380,11.01
TX,Borden,74,11.01
AR,Lonoke,8011,11.1
ID,Oneida,483,11.1
IL,Stark,593,11.1
IN,Decatur,2905,11.1
IA,Franklin,1108,11.1
KS,Ness,309,11.1
LA,St. Tammany,28338,11.1
MA,Bristol,60780,11.1
MI,Antrim,2564,11.1
MI,Shiawassee,7467,11.1
MN,Martin,2174,11.1
MN,Rice,6499,11.1
MO,Clinton,2229,11.1
NV,Lander,628,11.1
NV,Washoe,50261,11.1
NC,Cabarrus,22816,11.1
ND,McHenry,646,11.1
OH,Belmont,7114,11.1
OH,Logan,4951,11.1
OH,Sandusky,6477,11.1
OK,Harper,415,11.1
PA,Beaver,18164,11.1
TX,Wise,7211,11.1
WI,Winnebago,18076,11.1
WY,Natrona,8631,11.1
FL,Seminole,51321,11.2
IL,Henderson,753,11.2
IN,Benton,952,11.2
IN,Clay,2891,11.2
KS,Chase,282,11.2
KS,Comanche,191,11.2
KS,Edwards,318,11.2
KS,Morris,601,11.2
KS,Pratt,1026,11.2
KS,Wallace,168,11.2
KY,Meade,3127,11.2
MI,Macomb,96264,11.2
MN,Itasca,4955,11.2
MN,Watonwan,1193,11.2
NE,Antelope,704,11.2
NE,Furnas,525,11.2
NY,Wyoming,4128,11.2
OH,Morrow,3849,11.2
OR,Gilliam,205,11.2
PA,Allegheny,132929,11.2
SC,York,29456,11.2
SD,Codington,3114,11.2
UT,Washington,18252,11.2
AK,Matanuska-Susitna,11768,11.3
IA,Scott,19061,11.3
MN,Cottonwood,1256,11.3
NY,Albany,33186,11.3
NC,Iredell,19691,11.3
PA,Snyder,4311,11.3
SD,Custer,957,11.3
TN,Dickson,5893,11.3
VA,Campbell,6157,11.3
VA,Madison,1488,11.3
VA,Suffolk city,10067,11.3
WA,Skagit,14061,11.3
WI,Dane,59174,11.3
WI,Price,1493,11.3
AK,Haines,288,11.4
CO,Chaffee,2073,11.4
CO,Morgan,3127,11.4
IL,Lee,3589,11.4
IA,Hardin,1856,11.4
KS,Ottawa,652,11.4
LA,Livingston,15669,11.4
LA,St. Charles,5953,11.4
ME,Lincoln,3827,11.4
NE,Douglas,62619,11.4
NE,Lancaster,33985,11.4
NJ,Mercer,40622,11.4
NC,Mecklenburg,120634,11.4
OH,Ashland,5837,11.4
OH,Van Wert,3147,11.4
SD,Clark,391,11.4
SD,Yankton,2351,11.4
TX,Reagan,419,11.4
VA,Amelia,1466,11.4
VA,Giles,1900,11.4
WI,Kenosha,18729,11.4
WI,Monroe,5093,11.4
CA,Orange,362109,11.5
CT,Windham,12818,11.5
GA,Jackson,7670,11.5
IL,Carroll,1647,11.5
IA,Keokuk,1154,11.5
IA,Poweshiek,1916,11.5
KS,Ellsworth,613,11.5
KS,Sheridan,286,11.5
KS,Thomas,853,11.5
MN,Hubbard,2387,11.5
MN,Swift,1063,11.5
MO,Cooper,1849,11.5
NE,Burt,736,11.5
NE,Dawson,2688,11.5
NE,Jefferson,811,11.5
NE,Nuckolls,483,11.5
NV,Churchill,2747,11.5
NY,Rensselaer,17698,11.5
NC,Buncombe,28715,11.5
SD,Hutchinson,784,11.5
TX,Bastrop,9462,11.5
TX,Dallam,826,11.5
TX,Travis,139071,11.5
CO,Kit Carson,823,11.6
IL,Ford,1482,11.6
IN,Greene,3696,11.6
IN,Marshall,5290,11.6
IA,Henry,2125,11.6
IA,Monona,988,11.6
IA,Taylor,707,11.6
KS,Kiowa,271,11.6
KS,Phillips,612,11.6
KS,Trego,326,11.6
KS,Wichita,242,11.6
MI,Ionia,6823,11.6
MN,Polk,3536,11.6
NE,Box Butte,1241,11.6
NE,Garfield,229,11.6
NE,Lincoln,4008,11.6
