us_state,county,poverty_estimate,poverty_percentage
VA,Loudoun,11895,3.01
CO,Douglas,10574,3.2
VA,Falls Church city,498,3.4
SD,Lincoln,1956,3.5
NM,Los Alamos,691,3.7
IN,Hamilton,12284,3.8
NJ,Hunterdon,4793,3.9
TN,Williamson,8667,3.9
MN,Carver,4046,4.01
MN,Scott,5759,4.01
UT,Morgan,488,4.1
MN,Washington,10617,4.2
AK,Skagway Municipality,50,4.3
MN,Sherburne,3931,4.3
IA,Dallas,3834,4.4
WI,St. Croix,3944,4.5
CO,Broomfield,3092,4.6
VA,Stafford,6522,4.6
OH,Warren,10548,4.7
IL,Kendall,5993,4.8
OH,Delaware,9502,4.8
WI,Waukesha,19090,4.8
CO,Elbert,1257,4.9
IL,Monroe,1644,4.9
NJ,Morris,24225,4.9
UT,Summit,1988,4.9
WI,Ozaukee,4244,4.9
MD,Carroll,8298,5.01
VA,York,3321,5.01
VA,Poquoson city,600,5.01
IN,Hendricks,8120,5.1
KY,Oldham,3106,5.1
NE,Sarpy,9108,5.1
NH,Rockingham,15533,5.1
OH,Union,2780,5.2
UT,Wasatch,1648,5.2
GA,Forsyth,11978,5.3
KS,Johnson,30974,5.3
MI,Livingston,9991,5.3
MO,St. Charles,20661,5.3
NJ,Somerset,17396,5.3
NJ,Sussex,7372,5.3
TX,Rockwall,5039,5.3
WI,Washington,7124,5.3
MN,Anoka,18795,5.4
MN,Wright,7204,5.4
NY,Putnam,5305,5.4
UT,Davis,18584,5.4
VA,Hanover,5655,5.4
VA,Powhatan,1488,5.4
WI,Calumet,2706,5.4
IN,Hancock,4075,5.5
VA,New Kent,1165,5.5
GA,Fayette,6424,5.7
IN,Boone,3707,5.7
MA,Nantucket,637,5.7
VA,Arlington,13284,5.7
VA,Fauquier,3947,5.7
IL,Woodford,2179,5.8
MN,Dakota,24329,5.8
MN,Dodge,1202,5.8
PA,Montgomery,47041,5.8
WY,Teton,1348,5.8
CO,Pitkin,1048,5.9
IA,Grundy,716,5.9
MD,Howard,18895,5.9
TX,Collin,56725,5.9
MD,Calvert,5415,6.01
NE,Cass,1517,6.01
OH,Medina,10629,6.01
IL,McHenry,18686,6.1
IA,Warren,2950,6.1
MD,Anne Arundel,34314,6.1
MN,Chisago,3305,6.1
PA,Bucks,38058,6.1
SD,Union,903,6.1
TX,Williamson,32931,6.1
VA,Goochland,1340,6.1
VA,Prince William,28074,6.1
IL,DuPage,56794,6.2
MO,Platte,6187,6.2
NY,Nassau,83380,6.2
ND,Mercer,518,6.2
IL,Piatt,1025,6.3
PA,Chester,31826,6.3
CA,San Mateo,48795,6.4
OH,Geauga,5933,6.4
OH,Putnam,2146,6.4
VA,Botetourt,2102,6.4
GA,Oconee,2477,6.5
NE,Hamilton,585,6.5
NJ,Burlington,28202,6.5
GA,Columbia,9942,6.6
NJ,Bergen,62037,6.6
NY,Saratoga,14898,6.6
ND,Williams,2184,6.6
WY,Sublette,643,6.6
MD,Frederick,16626,6.7
MA,Norfolk,45495,6.7
NJ,Gloucester,19238,6.7
UT,Daggett,69,6.7
VA,Chesterfield,22626,6.7
VA,Clarke,953,6.7
VA,Fairfax,75911,6.7
VA,Fluvanna,1688,6.7
VA,Frederick,5723,6.7
CA,Napa,9301,6.8
CT,Middlesex,10796,6.8
IN,Warrick,4180,6.8
UT,Tooele,4541,6.8
VA,James City,5049,6.8
VA,King George,1753,6.8
VA,King William,1135,6.8
CO,Gilpin,413,6.9
CO,Routt,1709,6.9
CT,Litchfield,12481,6.9
IA,Cedar,1267,6.9
NE,Polk,357,6.9
OH,Mercer,2793,6.9
VA,Spotsylvania,9160,6.9
IL,Will,47639,7.01
MD,Montgomery,73280,7.01
MN,Wabasha,1496,7.01
NV,Storey,278,7.01
NY,Suffolk,102014,7.01
TX,Roberts,65,7.01
IL,Grundy,3543,7.1
IA,Bremer,1661,7.1
IA,Sioux,2301,7.1
KY,Boone,9250,7.1
MD,Harford,17620,7.1
MI,Leelanau,1512,7.1
TX,Denton,58411,7.1
VA,Manassas Park city,1169,7.1
WI,Outagamie,13045,7.1
IA,Iowa,1139,7.2
IA,Plymouth,1796,7.2
NE,Washington,1458,7.2
CO,Summit,2209,7.3
IA,Boone,1883,7.3
KS,Miami,2403,7.3
MA,Plymouth,36645,7.3
MN,Douglas,2707,7.3
NH,Merrimack,10392,7.3
NJ,Monmouth,45085,7.3
ND,Burleigh,6666,7.3
PA,Cumberland,17244,7.3
TX,Kendall,3160,7.3
VA,Roanoke,6681,7.3
WA,Snohomish,58157,7.3
AL,Shelby,15585,7.4
AK,Fairbanks North Star,7051,7.4
AK,Petersburg,240,7.4
CT,Tolland,10043,7.4
IA,Madison,1174,7.4
KS,Leavenworth,5490,7.4
MI,Clinton,5718,7.4
MO,Clay,17794,7.4
NJ,Warren,7770,7.4
AK,Kodiak Island,991,7.5
CA,Santa Clara,142603,7.5
CO,Eagle,4079,7.5
GA,Cherokee,18338,7.5
IA,Dickinson,1268,7.5
KY,Spencer,1370,7.5
MD,Charles,11823,7.5
NE,Seward,1173,7.5
OK,Canadian,10231,7.5
CO,Garfield,4429,7.6
CO,Jefferson,42729,7.6
IA,Lyon,877,7.6
KS,Gray,447,7.6
KS,Scott,369,7.6
KS,Wabaunsee,515,7.6
MA,Barnstable,15846,7.6
MA,Dukes,1299,7.6
MN,Houston,1398,7.6
NE,Saunders,1562,7.6
ND,Ransom,386,7.6
SD,Stanley,227,7.6
WI,Columbia,4241,7.6
WY,Lincoln,1464,7.6
CO,Ouray,368,7.7
CO,San Miguel,614,7.7
IL,Lake,52630,7.7
IA,O'Brien,1040,7.7
MD,Queen Anne's,3799,7.7
MN,Le Sueur,2145,7.7
MN,McLeod,2733,7.7
MN,Sibley,1128,7.7
ND,Sargent,293,7.7
ND,Traill,587,7.7
RI,Bristol,3543,7.7
VA,Fairfax city,1827,7.7
WI,Door,2092,7.7
WY,Crook,565,7.7
CA,Placer,29873,7.8
CO,Arapahoe,49795,7.8
CO,Clear Creek,735,7.8
IN,Lagrange,3025,7.8
IA,Benton,1977,7.8
ME,York,15776,7.8
MI,Oakland,95968,7.8
NE,Stanton,467,7.8
ND,Steele,148,7.8
WI,Pierce,3093,7.8
WI,Sheboygan,8789,7.8
AR,Saline,9335,7.9
CA,Marin,20222,7.9
IA,Marion,2514,7.9
MN,Isanti,3089,7.9
NH,Hillsborough,31832,7.9
ND,Renville,189,7.9
UT,Box Elder,4253,7.9
VA,Albemarle,8015,7.9
AK,Denali,158,8.01
IL,Putnam,455,8.01
MA,Middlesex,124404,8.01
MN,Brown,1927,8.01
MN,Goodhue,3650,8.01
MN,Pope,867,8.01
MO,Andrew,1378,8.01
NC,Camden,848,8.01
ND,Foster,254,8.01
OR,Washington,46428,8.01
TX,Fort Bend,60772,8.01
TX,Parker,10515,8.01
WI,Green,2932,8.01
WI,Kewaunee,1614,8.01
AK,Aleutians West,451,8.1
AK,Sitka,694,8.1
IL,Washington,1111,8.1
ME,Cumberland,22900,8.1
OH,Shelby,3897,8.1
ID,Franklin,1103,8.2
IL,Clinton,2910,8.2
KS,Nemaha,810,8.2
MI,Ottawa,22831,8.2
MN,Murray,672,8.2
NE,Fillmore,440,8.2
NV,Douglas,3931,8.2
OH,Fulton,3430,8.2
OH,Henry,2194,8.2
PA,Adams,8041,8.2
VT,Grand Isle,571,8.2
AK,Juneau,2596,8.3
CA,El Dorado,15620,8.3
FL,St. Johns,20118,8.3
GA,Harris,2774,8.3
GA,Paulding,13225,8.3
HI,Honolulu,79084,8.3
ID,Teton,939,8.3
IN,Dubois,3445,8.3
MD,Baltimore,67176,8.3
MN,Olmsted,12737,8.3
