us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
CA,Kings,12/31/2018,365,89,218,49,9,0,0,180,114,69,0,0,186,0,123,56
CA,Lake,12/31/2018,357,347,7,1,1,1,0,208,43,33,0,0,344,0,11,2
CA,Los Angeles,12/31/2018,365,35,222,89,18,1,0,201,130,76,0,32,175,0,157,1
CA,Madera,12/31/2018,365,152,178,30,5,0,0,165,100,56,0,0,210,0,120,35
CA,Marin,12/31/2018,365,294,58,3,9,1,0,218,58,36,0,22,135,0,208,0
CA,Mariposa,12/31/2018,365,189,136,10,21,8,1,301,108,50,0,0,265,0,100,0
CA,Mendocino,12/31/2018,364,289,54,13,6,1,1,314,64,37,0,0,151,0,209,4
CA,Merced,12/31/2018,365,173,151,32,9,0,0,171,101,51,0,1,196,0,167,1
CA,Mono,12/31/2018,365,279,57,14,11,2,2,994,84,23,0,0,0,0,218,147
CA,Monterey,12/31/2018,365,319,39,5,2,0,0,155,52,38,0,1,212,0,93,59
CA,Napa,12/31/2018,364,273,79,4,8,0,0,183,61,39,1,1,165,0,196,1
CA,Nevada,12/31/2018,363,245,90,19,9,0,0,196,87,44,0,0,327,0,36,0
CA,Orange,12/31/2018,365,198,149,15,3,0,0,157,85,50,0,25,192,0,145,3
CA,Placer,12/31/2018,365,187,124,37,13,4,0,223,122,50,0,1,297,0,65,2
CA,Plumas,12/31/2018,350,219,121,8,2,0,0,159,84,35,0,0,0,0,350,0
CA,Riverside,12/31/2018,365,50,175,103,31,6,0,296,151,87,0,1,229,0,92,43
CA,Sacramento,12/31/2018,365,161,169,22,8,4,1,314,100,54,0,1,202,0,157,5
CA,San Benito,12/31/2018,365,294,60,11,0,0,0,143,61,41,0,0,321,0,43,1
