data_state,county,poverty_estimate,poverty_percentage
AL,Autauga,"7,390",13.4
AL,Baldwin,"21,199",10.1
AL,Barbour,"7,414",33.4
AL,Bibb,"4,137",20.2
AL,Blount,"7,343",12.8
AL,Bullock,"2,956",34.4
AL,Butler,"4,154",21.3
AL,Calhoun,"19,832",17.7
AL,Chambers,"6,036",18.2
AL,Cherokee,"4,381",17.2
AL,Chilton,"7,303",16.8
AL,Choctaw,"3,031",23.7
AL,Clarke,"5,541",23.3
AL,Clay,"2,363",18.1
AL,Cleburne,"2,365",16.1
AL,Coffee,"7,954",15.5
AL,Colbert,"8,324",15.4
AL,Conecuh,"2,939",23.7
AL,Coosa,"1,823",17.4
AL,Covington,"6,447",17.7
AL,Crenshaw,"2,722",19.9
AL,Cullman,"11,256",13.8
AL,Dale,"8,528",17.7
AL,Dallas,"10,796",27.9
AL,DeKalb,"13,785",19.5
AL,Elmore,"9,151",12
AL,Escambia,"7,971",23.3
AL,Etowah,"18,257",18.1
AL,Fayette,"3,146",19.4
AL,Franklin,"6,394",20.5
AL,Geneva,"5,659",21.7
AL,Greene,"2,752",33.2
AL,Hale,"3,654",25.1
AL,Henry,"2,882",17
AL,Houston,"17,095",16.6
AL,Jackson,"8,539",16.6
AL,Jefferson,"107,752",16.7
AL,Lamar,"2,570",18.7
AL,Lauderdale,"12,395",13.7
AL,Lawrence,"5,494",16.8
AL,Lee,"27,901",17.8
AL,Limestone,"10,830",11.9
AL,Lowndes,"2,585",25.9
AL,Macon,"5,213",30.6
AL,Madison,"44,979",12.8
AL,Marengo,"4,356",22.8
AL,Marion,"5,582",19.3
AL,Marshall,"18,873",20.1
AL,Mobile,"80,116",19.7
AL,Monroe,"5,018",23.8
AL,Montgomery,"46,315",21.3
AL,Morgan,"17,301",14.8
AL,Perry,"3,180",37.2
AL,Pickens,"4,093",22.3
AL,Pike,"8,611",27.7
AL,Randolph,"3,771",17
AL,Russell,"13,078",23.2
AL,St. Clair,"11,644",13.5
AL,Shelby,"15,585",7.4
AL,Sumter,"4,238",35.9
AL,Talladega,"14,062",18.3
AL,Tallapoosa,"7,311",18.3
AL,Tuscaloosa,"31,238",15.9
AL,Walker,"10,975",17.4
AL,Washington,"3,303",20.2
AL,Wilcox,"3,392",32
AL,Winston,"4,980",21.3
AK,Aleutians East Borough,491,14.6
AK,Aleutians West Census Area,451,8.1
AK,Anchorage Borough,"27,663",9.6
AK,Bethel Census Area,"5,077",28.7
AK,Bristol Bay Borough,92,10.9
AK,Denali Borough,158,8
AK,Dillingham Census Area,"1,015",20.8
AK,Fairbanks North Star Borough,"7,051",7.4
AK,Haines Borough,288,11.4
AK,Hoonah-Angoon Census Area,376,17.6
AK,Juneau Borough,"2,596",8.3
AK,Kenai Peninsula Borough,"5,840",10.2
AK,Ketchikan Gateway Borough,"1,341",9.9
AK,Kodiak Island Borough,991,7.5
AK,Kusilvak Census Area,"3,050",37.5
AK,Lake and Peninsula Borough,253,15.7
AK,Matanuska-Susitna Borough,"11,768",11.3
