data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_co,days_no2,days_ozone,days_so2
AL,Baldwin,12/31/2018,270,245,25,0,0,0,0,0,0,214,0
AL,Clay,12/31/2018,110,103,7,0,0,0,0,0,0,0,0
AL,Colbert,12/31/2018,277,251,26,0,0,0,0,0,0,209,0
AL,DeKalb,12/31/2018,350,316,34,0,0,0,0,0,0,317,0
AL,Elmore,12/31/2018,222,203,19,0,0,0,0,0,0,222,0
AL,Etowah,12/31/2018,324,231,92,0,1,0,0,0,0,179,0
AL,Houston,12/31/2018,277,249,28,0,0,0,0,0,0,211,0
AL,Jefferson,12/31/2018,365,176,184,4,1,0,0,0,1,100,32
AL,Lawrence,12/31/2018,118,112,6,0,0,0,0,0,0,0,0
AL,Madison,12/31/2018,365,275,89,1,0,0,0,0,0,130,0
AL,Mobile,12/31/2018,365,290,74,1,0,0,0,0,0,150,13
AL,Montgomery,12/31/2018,324,149,175,0,0,0,0,0,0,43,0
AL,Morgan,12/31/2018,364,304,60,0,0,0,0,0,0,176,0
AL,Russell,12/31/2018,364,277,87,0,0,0,0,0,0,115,0
AL,Shelby,12/31/2018,363,328,31,4,0,0,0,0,0,232,131
AL,Sumter,12/31/2018,365,344,21,0,0,0,0,0,0,222,13
AL,Tuscaloosa,12/31/2018,320,265,54,1,0,0,0,0,0,195,0
AK,Aleutians East ,12/31/2018,120,120,0,0,0,0,0,0,0,0,0
AK,Anchorage ,12/31/2018,365,308,57,0,0,0,0,2,0,0,0
AK,Bethel ,12/31/2018,202,196,6,0,0,0,0,0,0,0,0
AK,Denali ,12/31/2018,364,361,3,0,0,0,0,0,0,363,0
AK,Fairbanks North Star ,12/31/2018,365,248,78,29,10,0,0,0,28,113,2
AK,Juneau ,12/31/2018,352,306,46,0,0,0,0,0,0,0,0
AK,Kenai Peninsula ,12/31/2018,120,120,0,0,0,0,0,0,0,0,0
AK,Matanuska-Susitna ,12/31/2018,365,325,36,3,1,0,0,0,0,221,0
AZ,Apache,12/31/2018,358,354,4,0,0,0,0,0,0,0,0
AZ,Cochise,12/31/2018,365,276,89,0,0,0,0,0,0,313,0
AZ,Coconino,12/31/2018,365,240,122,3,0,0,0,0,0,358,0
AZ,Gila,12/31/2018,365,107,170,80,8,0,0,0,0,161,188
AZ,La Paz,12/31/2018,364,263,98,3,0,0,0,0,0,351,0
