data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,ninetieth_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_so2,days_pm2,days_pm10
Alabama,Baldwin,12/31/2014,280,232,46,2,0,0,0,112,59,38,0,0,205,0,75,0
Alabama,Clay,12/31/2014,114,96,18,0,0,0,0,70,54,36,0,0,0,0,114,0
Alabama,Colbert,12/31/2014,284,251,33,0,0,0,0,87,52,37,0,0,206,0,78,0
Alabama,DeKalb,12/31/2014,360,313,47,0,0,0,0,90,54,38,0,0,300,0,60,0
Alabama,Elmore,12/31/2014,245,224,21,0,0,0,0,84,49,36,0,0,245,0,0,0
Alabama,Etowah,12/31/2014,281,244,37,0,0,0,0,97,54,38,0,0,207,0,74,0
Alabama,Houston,12/31/2014,279,241,38,0,0,0,0,80,52,38,0,0,212,0,67,0
Alabama,Jefferson,12/31/2014,365,158,201,6,0,0,0,112,74,53,0,7,71,2,283,2
Alabama,Lawrence,12/31/2014,104,92,12,0,0,0,0,83,52,27,0,0,0,0,104,0
Alabama,Madison,12/31/2014,338,281,57,0,0,0,0,97,58,39,0,0,214,0,68,56
Alabama,Mobile,12/31/2014,285,224,55,6,0,0,0,115,67,41,0,0,223,0,61,1
Alabama,Montgomery,12/31/2014,284,235,49,0,0,0,0,87,56,40,0,0,198,0,86,0
Alabama,Morgan,12/31/2014,283,238,45,0,0,0,0,93,54,39,0,0,209,0,74,0
Alabama,Russell,12/31/2014,284,218,65,1,0,0,0,108,58,40,0,0,184,0,100,0
Alabama,Shelby,12/31/2014,273,226,46,1,0,0,0,119,54,40,0,0,210,0,63,0
Alabama,Sumter,12/31/2014,241,232,9,0,0,0,0,74,47,34,0,0,241,0,0,0
Alabama,Talladega,12/31/2014,108,86,22,0,0,0,0,79,56,37,0,0,0,0,108,0
Alabama,Tuscaloosa,12/31/2014,280,251,29,0,0,0,0,93,52,36,0,0,190,0,90,0
Alaska,Aleutians East ,12/31/2014,105,104,1,0,0,0,0,56,19,9,0,0,0,0,105,0
Alaska,Anchorage ,12/31/2014,360,275,82,2,1,0,0,152,64,28,9,0,0,0,190,161
Alaska,Denali ,12/31/2014,341,333,8,0,0,0,0,80,44,31,0,0,330,0,11,0
Alaska,Fairbanks North Star ,12/31/2014,364,176,107,34,46,1,0,206,156,53,0,16,104,2,227,15
Alaska,Juneau ,12/31/2014,352,285,65,2,0,0,0,129,61,24,0,0,0,0,346,6
Alaska,Kenai Peninsula ,12/31/2014,199,184,13,0,2,0,0,185,45,9,0,0,0,0,129,70
Alaska,Matanuska-Susitna ,12/31/2014,365,281,73,9,1,1,0,231,74,30,0,0,111,0,196,58
Alaska,Yukon-Koyukuk ,12/31/2014,107,107,0,0,0,0,0,25,9,4,0,0,0,0,107,0
Arizona,Apache,12/31/2014,365,364,1,0,0,0,0,67,27,14,0,0,0,0,48,317
Arizona,Cochise,12/31/2014,365,225,135,5,0,0,0,137,67,47,0,0,264,0,18,83
Arizona,Coconino,12/31/2014,357,250,102,5,0,0,0,126,67,44,0,0,346,0,11,0
Arizona,Gila,12/31/2014,365,97,129,117,22,0,0,200,135,79,0,0,68,254,1,42
Arizona,La Paz,12/31/2014,358,264,90,4,0,0,0,136,67,44,0,1,349,0,0,8
Arizona,Maricopa,12/31/2014,365,41,279,42,2,1,0,221,108,67,0,16,198,0,86,65
Arizona,Mohave,12/31/2014,365,356,9,0,0,0,0,77,31,18,0,0,0,0,19,346
Arizona,Navajo,12/31/2014,365,272,91,2,0,0,0,101,64,44,0,0,359,0,1,5
Arizona,Pima,12/31/2014,365,221,141,3,0,0,0,129,74,48,0,5,247,0,28,85
Arizona,Pinal,12/31/2014,365,60,218,55,17,3,12,881,142,71,0,0,77,0,30,258
Arizona,Santa Cruz,12/31/2014,365,267,94,2,2,0,0,199,69,34,0,0,0,0,121,244
Arizona,Yavapai,12/31/2014,280,185,89,6,0,0,0,140,77,44,0,0,242,0,38,0
Arizona,Yuma,12/31/2014,365,221,127,12,3,2,0,284,84,47,0,0,194,0,45,126
Arkansas,Arkansas,12/31/2014,115,91,24,0,0,0,0,91,61,34,0,0,0,0,115,0
Arkansas,Ashley,12/31/2014,118,97,21,0,0,0,0,73,58,33,0,0,0,0,118,0
Arkansas,Clark,12/31/2014,352,342,10,0,0,0,0,90,45,33,0,0,352,0,0,0
Arkansas,Crittenden,12/31/2014,365,317,48,0,0,0,0,93,54,37,0,25,288,0,52,0
Arkansas,Garland,12/31/2014,121,92,29,0,0,0,0,79,58,35,0,0,0,0,121,0
Arkansas,Jackson,12/31/2014,105,75,30,0,0,0,0,83,62,34,0,0,0,0,105,0
Arkansas,Newton,12/31/2014,365,336,29,0,0,0,0,87,49,36,0,0,342,0,23,0
Arkansas,Polk,12/31/2014,360,304,56,0,0,0,0,100,57,38,0,0,299,0,61,0
Arkansas,Pulaski,12/31/2014,365,228,134,3,0,0,0,115,67,44,0,7,135,0,223,0
Arkansas,Union,12/31/2014,365,335,30,0,0,0,0,89,45,4,0,0,0,248,117,0
Arkansas,Washington,12/31/2014,365,316,49,0,0,0,0,86,54,39,0,0,320,0,45,0
California,Alameda,12/31/2014,365,246,109,10,0,0,0,133,69,43,0,33,155,0,177,0
California,Alpine,12/31/2014,50,47,3,0,0,0,0,80,42,23,0,0,0,0,50,0
California,Amador,12/31/2014,359,263,86,10,0,0,0,133,80,42,0,0,359,0,0,0
California,Butte,12/31/2014,365,173,178,12,2,0,0,155,84,52,0,0,228,0,137,0
California,Calaveras,12/31/2014,361,264,93,4,0,0,0,115,71,44,0,0,279,0,82,0
California,Colusa,12/31/2014,365,243,122,0,0,0,0,99,63,44,0,0,159,0,205,1
California,Contra Costa,12/31/2014,365,234,126,5,0,0,0,133,67,45,0,1,172,0,192,0
California,Del Norte,12/31/2014,115,112,3,0,0,0,0,55,33,12,0,0,0,0,115,0
California,El Dorado,12/31/2014,365,223,96,43,3,0,0,161,105,45,0,0,355,0,3,7
California,Fresno,12/31/2014,365,74,167,91,33,0,0,197,148,81,0,0,231,0,131,3
California,Glenn,12/31/2014,365,289,75,1,0,0,0,105,59,41,0,0,259,0,93,13
California,Humboldt,12/31/2014,365,220,139,5,1,0,0,164,66,43,0,0,89,0,270,6
California,Imperial,12/31/2014,365,46,265,45,5,2,2,359,112,67,0,2,109,0,160,94
California,Inyo,12/31/2014,365,233,117,6,5,1,3,911,83,47,0,0,294,0,28,43
California,Kern,12/31/2014,365,32,173,117,42,0,1,307,154,97,0,0,230,0,127,8
California,Kings,12/31/2014,365,85,203,52,25,0,0,172,126,71,0,0,204,0,116,45
California,Lake,12/31/2014,357,335,22,0,0,0,0,93,48,37,0,0,352,0,4,1
California,Los Angeles,12/31/2014,365,24,234,79,26,2,0,205,143,80,0,19,172,0,170,4
California,Madera,12/31/2014,365,95,195,60,15,0,0,179,126,67,0,0,221,0,133,11
California,Marin,12/31/2014,365,261,103,1,0,0,0,107,61,43,0,6,59,0,300,0
California,Mariposa,12/31/2014,365,195,143,26,1,0,0,153,93,49,0,0,305,0,56,4
California,Mendocino,12/31/2014,365,292,73,0,0,0,0,95,58,38,0,0,166,0,198,1
California,Merced,12/31/2014,364,148,158,56,2,0,0,156,113,60,0,2,250,0,110,2
California,Mono,12/31/2014,365,333,20,1,3,2,6,2514,44,15,0,0,0,0,20,345
California,Monterey,12/31/2014,365,337,28,0,0,0,0,100,48,37,0,0,263,0,73,29
California,Napa,12/31/2014,365,214,151,0,0,0,0,88,65,46,0,0,74,0,291,0
California,Nevada,12/31/2014,365,214,117,33,1,0,0,163,100,46,0,0,358,0,7,0
California,Orange,12/31/2014,365,83,261,19,2,0,0,156,87,59,0,18,69,0,276,2
California,Placer,12/31/2014,365,168,169,23,4,1,0,240,97,52,0,2,244,0,119,0
California,Plumas,12/31/2014,127,72,42,10,3,0,0,156,103,41,0,0,0,0,127,0
California,Riverside,12/31/2014,365,19,190,122,32,1,1,537,150,93,0,0,205,0,96,64
California,Sacramento,12/31/2014,365,178,147,40,0,0,0,147,105,51,0,3,247,0,113,2
California,San Benito,12/31/2014,365,299,62,4,0,0,0,115,61,42,0,0,345,0,19,1
California,San Bernardino,12/31/2014,365,39,199,83,43,1,0,201,159,80,0,18,215,0,115,17
California,San Diego,12/31/2014,365,89,237,37,2,0,0,165,101,61,0,17,208,0,125,15
California,San Francisco,12/31/2014,365,309,56,0,0,0,0,97,54,34,0,71,136,0,158,0
California,San Joaquin,12/31/2014,365,159,172,33,1,0,0,152,99,54,0,2,224,0,133,6
California,San Luis Obispo,12/31/2014,365,138,213,14,0,0,0,126,87,55,0,0,179,0,172,14
California,San Mateo,12/31/2014,364,318,46,0,0,0,0,99,53,34,0,37,185,0,142,0
California,Santa Barbara,12/31/2014,365,223,135,5,2,0,0,159,64,47,0,2,247,1,107,8
California,Santa Clara,12/31/2014,365,268,89,7,1,0,0,154,70,41,0,27,200,0,137,1
California,Santa Cruz,12/31/2014,365,301,52,12,0,0,0,136,66,35,0,0,244,0,121,0
California,Shasta,12/31/2014,365,277,82,6,0,0,0,126,71,43,0,0,354,0,9,2
California,Siskiyou,12/31/2014,363,332,29,0,2,0,0,159,50,37,0,0,347,0,14,2
California,Solano,12/31/2014,365,254,108,3,0,0,0,124,67,43,0,1,172,0,192,0
California,Sonoma,12/31/2014,365,314,51,0,0,0,0,81,54,37,0,0,227,0,136,2
California,Stanislaus,12/31/2014,365,142,164,53,6,0,0,164,114,58,0,0,248,0,114,3
California,Sutter,12/31/2014,365,182,170,12,1,0,0,156,82,51,0,5,200,0,159,1
California,Tehama,12/31/2014,364,235,113,15,1,0,0,151,80,44,0,0,330,0,33,1
California,Trinity,12/31/2014,112,105,7,0,0,0,0,88,33,9,0,0,0,0,112,0
California,Tulare,12/31/2014,365,70,171,97,27,0,0,169,145,84,0,0,223,0,141,1
California,Tuolumne,12/31/2014,334,214,104,16,0,0,0,133,87,46,0,0,334,0,0,0
California,Ventura,12/31/2014,365,157,193,15,0,0,0,150,87,53,0,1,237,0,123,4
California,Yolo,12/31/2014,365,288,76,1,0,0,0,101,60,41,0,3,242,0,119,1
Colorado,Adams,12/31/2014,365,237,123,5,0,0,0,124,71,47,0,102,209,1,25,28
Colorado,Alamosa,12/31/2014,365,346,17,2,0,0,0,124,37,19,0,0,0,0,10,355
Colorado,Arapahoe,12/31/2014,364,269,94,1,0,0,0,122,61,44,0,0,349,0,15,0
Colorado,Archuleta,12/31/2014,336,335,1,0,0,0,0,51,29,17,0,0,0,0,0,336
Colorado,Boulder,12/31/2014,360,261,94,5,0,0,0,126,71,44,0,0,332,0,27,1
Colorado,Chaffee,12/31/2014,150,103,47,0,0,0,0,100,77,47,0,0,150,0,0,0
Colorado,Clear Creek,12/31/2014,267,169,83,15,0,0,0,150,90,47,0,0,267,0,0,0
Colorado,Delta,12/31/2014,118,117,1,0,0,0,0,77,32,21,0,0,0,0,0,118
Colorado,Denver,12/31/2014,365,195,167,2,1,0,0,152,74,50,0,122,152,0,89,2
Colorado,Douglas,12/31/2014,363,244,110,9,0,0,0,124,74,44,0,0,352,0,11,0
Colorado,El Paso,12/31/2014,365,260,104,1,0,0,0,104,67,46,0,0,328,31,6,0
Colorado,Fremont,12/31/2014,59,58,1,0,0,0,0,51,27,15,0,0,0,0,0,59
Colorado,Garfield,12/31/2014,365,303,60,2,0,0,0,108,58,44,0,0,364,0,1,0
Colorado,Gunnison,12/31/2014,365,307,58,0,0,0,0,90,58,44,0,0,356,0,0,9
Colorado,Jackson,12/31/2014,362,340,22,0,0,0,0,77,48,40,0,0,357,0,5,0
Colorado,Jefferson,12/31/2014,365,228,121,16,0,0,0,140,84,46,0,0,365,0,0,0
Colorado,La Plata,12/31/2014,365,280,84,1,0,0,0,101,64,44,0,0,364,0,1,0
Colorado,Larimer,12/31/2014,365,202,146,17,0,0,0,140,80,49,0,0,353,0,12,0
Colorado,Mesa,12/31/2014,365,251,113,1,0,0,0,101,64,46,0,0,274,0,89,2
Colorado,Moffat,12/31/2014,270,236,34,0,0,0,0,90,51,43,0,0,270,0,0,0
Colorado,Montezuma,12/31/2014,365,286,79,0,0,0,0,93,61,44,0,0,360,0,5,0
Colorado,Park,12/31/2014,338,232,104,2,0,0,0,115,74,47,0,0,338,0,0,0
Colorado,Pitkin,12/31/2014,115,115,0,0,0,0,0,35,21,11,0,0,0,0,45,70
Colorado,Prowers,12/31/2014,358,330,19,2,6,1,0,247,43,19,0,0,0,0,0,358
Colorado,Pueblo,12/31/2014,124,119,4,1,0,0,0,110,41,23,0,0,0,0,75,49
Colorado,Rio Blanco,12/31/2014,365,316,49,0,0,0,0,87,51,44,0,1,342,0,22,0
Colorado,Routt,12/31/2014,346,334,12,0,0,0,0,65,35,15,0,0,0,0,0,346
Colorado,San Juan,12/31/2014,118,118,0,0,0,0,0,28,17,8,0,0,0,0,118,0
Colorado,San Miguel,12/31/2014,274,205,69,0,0,0,0,93,64,45,0,0,227,0,0,47
Colorado,Weld,12/31/2014,365,248,113,4,0,0,0,126,74,45,1,0,337,0,26,1
Connecticut,Fairfield,12/31/2014,365,212,139,12,2,0,0,164,84,48,0,12,155,0,198,0
Connecticut,Hartford,12/31/2014,365,245,110,10,0,0,0,143,67,44,0,21,122,0,222,0
Connecticut,Litchfield,12/31/2014,365,294,69,2,0,0,0,129,58,41,0,1,260,0,104,0
Connecticut,Middlesex,12/31/2014,182,140,31,10,1,0,0,151,80,43,0,0,182,0,0,0
Connecticut,New Haven,12/31/2014,365,243,114,8,0,0,0,126,74,44,0,14,197,0,154,0
Connecticut,New London,12/31/2014,355,281,73,1,0,0,0,104,62,40,0,0,171,0,184,0
Connecticut,Tolland,12/31/2014,178,141,28,9,0,0,0,140,74,41,0,0,178,0,0,0
Connecticut,Windham,12/31/2014,354,328,25,1,0,0,0,101,48,34,0,0,354,0,0,0
Country Of Mexico,BAJA CALIFORNIA NORTE,12/31/2014,51,11,27,8,5,0,0,187,143,65,0,0,0,0,0,51
Country Of Mexico,CHIHUAHUA STATE,12/31/2014,214,210,4,0,0,0,0,65,43,31,60,0,154,0,0,0
Delaware,Kent,12/31/2014,364,295,68,1,0,0,0,108,59,42,0,0,225,0,139,0
Delaware,New Castle,12/31/2014,365,205,148,10,2,0,0,152,79,49,0,7,186,1,171,0
Delaware,Sussex,12/31/2014,365,261,103,1,0,0,0,105,64,43,0,0,244,0,121,0
District Of Columbia,District of Columbia,12/31/2014,365,225,136,4,0,0,0,140,67,47,0,19,181,0,165,0
Florida,Alachua,12/31/2014,361,329,32,0,0,0,0,77,49,35,0,0,227,0,134,0
Florida,Baker,12/31/2014,362,347,15,0,0,0,0,74,46,33,0,0,362,0,0,0
Florida,Bay,12/31/2014,365,294,71,0,0,0,0,100,59,40,0,0,227,0,138,0
Florida,Brevard,12/31/2014,365,312,53,0,0,0,0,87,54,39,0,0,274,0,91,0
Florida,Broward,12/31/2014,365,315,48,2,0,0,0,115,53,38,0,23,210,0,132,0
Florida,Citrus,12/31/2014,337,289,36,12,0,0,0,126,64,17,0,0,0,238,99,0
Florida,Collier,12/31/2014,365,324,41,0,0,0,0,77,51,36,0,0,219,0,146,0
Florida,Columbia,12/31/2014,338,301,37,0,0,0,0,80,51,34,0,0,299,0,39,0
Florida,Duval,12/31/2014,365,266,95,4,0,0,0,126,64,43,0,2,199,12,152,0
Florida,Escambia,12/31/2014,365,273,88,4,0,0,0,126,61,42,0,0,207,1,157,0
Florida,Flagler,12/31/2014,360,335,25,0,0,0,0,90,47,35,0,0,360,0,0,0
Florida,Hamilton,12/31/2014,271,214,57,0,0,0,0,72,56,38,0,0,0,0,271,0
Florida,Highlands,12/31/2014,350,327,23,0,0,0,0,77,47,32,0,0,350,0,0,0
