data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_co,days_no2,days_ozone,days_so2
AL,Baldwin,12/31/2017,270,241,28,1,0,0,0,0,0,206,0
AL,Clay,12/31/2017,118,104,14,0,0,0,0,0,0,0,0
AL,Colbert,12/31/2017,283,265,18,0,0,0,0,0,0,218,0
AL,DeKalb,12/31/2017,359,329,30,0,0,0,0,0,0,315,0
AL,Elmore,12/31/2017,226,221,5,0,0,0,0,0,0,226,0
AL,Etowah,12/31/2017,360,233,125,1,1,0,0,0,0,133,0
AL,Houston,12/31/2017,281,260,20,1,0,0,0,0,0,203,0
AL,Jefferson,12/31/2017,365,144,212,9,0,0,0,0,2,85,70
AL,Lawrence,12/31/2017,122,114,8,0,0,0,0,0,0,0,0
AL,Madison,12/31/2017,335,301,34,0,0,0,0,0,0,230,0
AL,Mobile,12/31/2017,363,299,59,5,0,0,0,0,0,191,5
AL,Montgomery,12/31/2017,346,214,129,2,0,1,0,0,0,119,0
AL,Morgan,12/31/2017,364,317,47,0,0,0,0,0,0,184,0
AL,Russell,12/31/2017,311,228,83,0,0,0,0,0,0,173,0
AL,Shelby,12/31/2017,357,333,23,1,0,0,0,0,0,232,125
AL,Sumter,12/31/2017,350,330,20,0,0,0,0,0,0,183,0
AL,Talladega,12/31/2017,116,92,24,0,0,0,0,0,0,0,0
AL,Tuscaloosa,12/31/2017,350,165,184,1,0,0,0,0,0,64,0
AK,Aleutians East ,12/31/2017,118,118,0,0,0,0,0,0,0,0,0
AK,Anchorage ,12/31/2017,365,313,51,1,0,0,0,6,0,0,0
AK,Denali ,12/31/2017,360,360,0,0,0,0,0,0,0,357,0
AK,Fairbanks North Star ,12/31/2017,365,240,80,25,20,0,0,0,11,111,1
AK,Juneau ,12/31/2017,356,311,44,1,0,0,0,0,0,0,0
AK,Kenai Peninsula ,12/31/2017,67,67,0,0,0,0,0,0,0,0,0
AK,Matanuska-Susitna ,12/31/2017,365,309,51,4,1,0,0,0,0,221,0
AZ,Apache,12/31/2017,365,363,2,0,0,0,0,0,0,0,0
AZ,Cochise,12/31/2017,365,255,108,2,0,0,0,0,0,302,0
AZ,Coconino,12/31/2017,365,259,105,1,0,0,0,0,0,355,0
AZ,Gila,12/31/2017,365,69,155,120,21,0,0,0,0,93,256
AZ,La Paz,12/31/2017,358,276,80,2,0,0,0,0,0,342,0
AZ,Maricopa,12/31/2017,365,51,259,50,5,0,0,0,20,203,1
AZ,Mohave,12/31/2017,355,349,6,0,0,0,0,0,0,0,0
AZ,Navajo,12/31/2017,365,279,85,1,0,0,0,0,0,350,0
AZ,Pima,12/31/2017,365,145,213,7,0,0,0,0,0,207,0
AZ,Pinal,12/31/2017,365,64,233,59,7,1,1,0,0,119,0
AZ,Santa Cruz,12/31/2017,365,276,85,2,2,0,0,0,0,0,0
