us_state,county,year_end,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,poverty_estimate,poverty_percentage
CA,Riverside,12/31/2019,365,75,170,91,29,0,0,"274,953",11.3
CA,Sacramento,12/31/2019,365,213,142,10,0,0,0,"192,993",12.6
CA,San Benito,12/31/2019,365,326,39,0,0,0,0,"6,518",10.4
CA,San Bernardino,12/31/2019,365,55,177,71,54,8,0,"284,359",13.3
CA,San Diego,12/31/2019,365,87,253,23,2,0,0,"335,034",10.3
CA,San Francisco,12/31/2019,365,313,51,1,0,0,0,"82,616",9.5
CA,San Joaquin,12/31/2019,365,231,122,11,1,0,0,"101,772",13.6
CA,San Luis Obispo,12/31/2019,365,230,132,3,0,0,0,"31,180",11.6
CA,San Mateo,12/31/2019,365,327,36,2,0,0,0,"46,328",6.1
CA,Santa Barbara,12/31/2019,365,286,78,1,0,0,0,"51,298",12.0
CA,Santa Clara,12/31/2019,365,271,90,4,0,0,0,"116,401",6.1
CA,Santa Cruz,12/31/2019,365,347,18,0,0,0,0,"27,531",10.6
CA,Shasta,12/31/2019,364,311,53,0,0,0,0,"23,508",13.3
CA,Siskiyou,12/31/2019,365,332,29,2,2,0,0,"7,484",17.4
CA,Solano,12/31/2019,365,290,74,1,0,0,0,"39,018",9.0
CA,Sonoma,12/31/2019,365,348,17,0,0,0,0,"34,758",7.2
CA,Stanislaus,12/31/2019,365,201,141,22,1,0,0,"70,741",13.0
CA,Sutter,12/31/2019,365,239,124,2,0,0,0,"12,310",12.8
CA,Tehama,12/31/2019,365,282,83,0,0,0,0,"10,484",16.3
CA,Trinity,12/31/2019,269,246,21,2,0,0,0,"1,986",16.5
CA,Tulare,12/31/2019,365,127,157,78,2,1,0,"86,940",18.9
CA,Tuolumne,12/31/2019,358,273,83,2,0,0,0,"5,781",11.3
CA,Ventura,12/31/2019,365,214,142,9,0,0,0,"68,482",8.2
CA,Yolo,12/31/2019,365,284,80,1,0,0,0,"35,608",16.9
CO,Adams,12/31/2019,365,223,141,1,0,0,0,"47,464",9.3
CO,Alamosa,12/31/2019,107,107,0,0,0,0,0,"3,019",19.6
CO,Arapahoe,12/31/2019,365,227,132,6,0,0,0,"47,072",7.2
CO,Archuleta,12/31/2019,363,331,30,2,0,0,0,"1,502",10.8
CO,Boulder,12/31/2019,365,227,133,5,0,0,0,"33,965",10.7
CO,Clear Creek,12/31/2019,290,205,84,1,0,0,0,709,7.4
CO,Delta,12/31/2019,365,339,26,0,0,0,0,"4,602",15.1
CO,Denver,12/31/2019,365,179,183,2,1,0,0,"86,020",12.1
CO,Douglas,12/31/2019,361,236,114,10,1,0,0,"9,622",2.7
CO,El Paso,12/31/2019,365,259,106,0,0,0,0,"61,692",8.8
CO,Fremont,12/31/2019,32,32,0,0,0,0,0,"6,361",16.1
CO,Garfield,12/31/2019,365,309,56,0,0,0,0,"5,694",9.6
CO,Gilpin,12/31/2019,143,117,25,1,0,0,0,421,6.8
CO,Gunnison,12/31/2019,358,279,78,1,0,0,0,"1,920",11.6
CO,Jackson,12/31/2019,102,102,0,0,0,0,0,175,12.6
CO,Jefferson,12/31/2019,365,238,111,16,0,0,0,"41,258",7.2
CO,La Plata,12/31/2019,365,276,89,0,0,0,0,"6,127",11.3
CO,Larimer,12/31/2019,365,208,151,6,0,0,0,"35,894",10.3
CO,Mesa,12/31/2019,364,289,75,0,0,0,0,"16,840",11.2
CO,Montezuma,12/31/2019,365,280,85,0,0,0,0,"3,856",14.9
CO,Pitkin,12/31/2019,121,121,0,0,0,0,0,"1,099",6.2
CO,Prowers,12/31/2019,346,343,3,0,0,0,0,"2,159",18.2
CO,Pueblo,12/31/2019,126,125,1,0,0,0,0,"29,187",17.8
