data_state,county,data_year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,days_co,days_no2,days_ozone,days_so2
AL,Baldwin,12/31/2019,271,237,34,0,0,0,0,0,0,220,0
AL,Clay,12/31/2019,107,97,10,0,0,0,0,0,0,0,0
AL,Colbert,12/31/2019,263,252,11,0,0,0,0,0,0,228,0
AL,DeKalb,12/31/2019,361,324,37,0,0,0,0,0,0,331,0
AL,Elmore,12/31/2019,228,208,20,0,0,0,0,0,0,228,0
AL,Etowah,12/31/2019,279,232,47,0,0,0,0,0,0,218,0
AL,Houston,12/31/2019,280,256,24,0,0,0,0,0,0,208,0
AL,Jefferson,12/31/2019,365,157,195,13,0,0,0,0,2,122,4
AL,Lawrence,12/31/2019,112,111,1,0,0,0,0,0,0,0,0
AL,Madison,12/31/2019,361,255,106,0,0,0,0,0,0,155,0
AL,Mobile,12/31/2019,364,258,106,0,0,0,0,0,0,105,16
AL,Montgomery,12/31/2019,365,171,193,1,0,0,0,0,0,50,0
AL,Morgan,12/31/2019,365,306,59,0,0,0,0,0,0,195,0
AL,Russell,12/31/2019,363,268,95,0,0,0,0,0,0,116,0
AL,Shelby,12/31/2019,359,308,44,7,0,0,0,0,0,232,127
AL,Sumter,12/31/2019,361,335,26,0,0,0,0,0,0,183,10
AL,Tuscaloosa,12/31/2019,264,240,24,0,0,0,0,0,0,188,0
AK,Aleutians East ,12/31/2019,121,121,0,0,0,0,0,0,0,0,0
AK,Anchorage ,12/31/2019,365,289,67,5,4,0,0,8,0,0,0
AK,Bethel ,12/31/2019,317,304,11,1,1,0,0,0,0,0,0
AK,Denali ,12/31/2019,361,355,4,1,1,0,0,0,0,350,0
AK,Fairbanks North Star ,12/31/2019,365,230,96,18,16,1,4,0,13,130,1
AK,Juneau ,12/31/2019,362,308,51,3,0,0,0,0,0,0,0
AK,Kenai Peninsula ,12/31/2019,118,115,2,1,0,0,0,0,0,0,0
AK,Matanuska-Susitna ,12/31/2019,361,295,63,3,0,0,0,0,0,0,0
AK,North Slope ,12/31/2019,110,109,1,0,0,0,0,0,0,0,0
AZ,Apache,12/31/2019,359,358,1,0,0,0,0,0,0,0,0
AZ,Cochise,12/31/2019,365,266,99,0,0,0,0,0,0,327,0
AZ,Coconino,12/31/2019,365,289,76,0,0,0,0,0,0,356,0
AZ,Gila,12/31/2019,365,145,164,50,6,0,0,0,0,254,104
AZ,La Paz,12/31/2019,364,304,60,0,0,0,0,0,0,360,0
AZ,Maricopa,12/31/2019,365,66,261,38,0,0,0,0,3,215,0
AZ,Mohave,12/31/2019,365,358,7,0,0,0,0,0,0,0,0
