data_state,county,poverty_estimate,poverty_percentage
AR,Sharp,"3,541",20.7
AR,Stone,"2,497",20.3
AR,Union,"7,000",18.2
AR,Van Buren,"2,685",16.4
AR,Washington,"34,741",15.2
AR,White,"12,505",16.6
AR,Woodruff,"1,509",23.7
AR,Yell,"3,453",16.3
CA,Alameda,"147,394",9.0
CA,Alpine,190,17.3
CA,Amador,"4,130",11.8
CA,Butte,"42,016",18.5
CA,Calaveras,"5,454",12.1
CA,Colusa,"2,350",11.0
CA,Contra Costa,"88,980",7.8
CA,Del Norte,"5,065",20.4
CA,El Dorado,"15,401",8.1
CA,Fresno,"208,627",21.3
CA,Glenn,"4,271",15.4
CA,Humboldt,"27,002",20.3
CA,Imperial,"37,014",21.4
CA,Inyo,"2,172",12.3
CA,Kern,"177,021",20.5
CA,Kings,"25,481",18.8
CA,Lake,"11,689",18.4
CA,Lassen,"3,653",15.8
CA,Los Angeles,"1,409,155",14.2
CA,Madera,"30,201",20.2
CA,Marin,"16,742",6.6
CA,Mariposa,"2,569",14.9
CA,Mendocino,"15,140",17.5
CA,Merced,"56,863",21.2
CA,Modoc,"1,631",19.1
CA,Mono,"1,312",9.3
CA,Monterey,"55,614",13.3
CA,Napa,"11,829",8.8
CA,Nevada,"10,171",10.3
CA,Orange,"330,559",10.5
CA,Placer,"27,596",7.1
CA,Plumas,"2,317",12.5
CA,Riverside,"307,511",12.7
CA,Sacramento,"217,138",14.3
CA,San Benito,"5,294",8.6
CA,San Bernardino,"317,514",14.9
CA,San Diego,"372,148",11.5
CA,San Francisco,"87,596",10.1
CA,San Joaquin,"105,351",14.3
CA,San Luis Obispo,"34,200",12.7
CA,San Mateo,"51,830",6.8
CA,Santa Barbara,"54,029",12.6
CA,Santa Clara,"139,074",7.3
CA,Santa Cruz,"32,027",12.2
CA,Shasta,"26,919",15.2
CA,Sierra,392,13.3
CA,Siskiyou,"7,396",17.1
CA,Solano,"34,281",7.9
CA,Sonoma,"48,846",9.9
CA,Stanislaus,"84,744",15.6
CA,Sutter,"13,011",13.5
CA,Tehama,"10,749",17.0
CA,Trinity,"2,656",21.6
CA,Tulare,"102,451",22.2
CA,Tuolumne,"6,417",12.5
CA,Ventura,"76,206",9.1
CA,Yolo,"42,311",20.1
CA,Yuba,"13,256",17.2
CO,Adams,"46,711",9.2
CO,Alamosa,"2,954",19.1
CO,Arapahoe,"52,474",8.1
CO,Archuleta,"1,525",11.2
CO,Baca,678,19.4
CO,Bent,"1,353",33.9
CO,Boulder,"30,699",9.7
CO,Broomfield,"3,364",4.9
CO,Chaffee,"2,023",10.9
CO,Cheyenne,230,12.6
CO,Clear Creek,686,7.2
CO,Conejos,"1,747",21.4
CO,Costilla,964,25.2
CO,Crowley,"1,341",44.3
CO,Custer,576,12.0
CO,Delta,"4,429",14.6
CO,Denver,"82,104",11.7
CO,Dolores,265,12.8
CO,Douglas,"8,975",2.6
CO,Eagle,"3,673",6.7
CO,Elbert,"1,312",5.0
CO,El Paso,"68,538",9.9
CO,Fremont,"6,525",16.5
CO,Garfield,"4,946",8.4
CO,Gilpin,410,6.7
CO,Grand,"1,219",7.9
CO,Gunnison,"1,678",10.4
CO,Hinsdale,69,8.6
CO,Huerfano,"1,459",21.7
CO,Jackson,188,13.4
CO,Jefferson,"39,799",7.0
CO,Kiowa,188,13.8
CO,Kit Carson,900,12.6
CO,Lake,970,12.6
CO,La Plata,"5,005",9.2
CO,Larimer,"36,054",10.5
CO,Las Animas,"2,626",19.2
CO,Lincoln,744,16.2
CO,Logan,"2,674",14.5
CO,Mesa,"21,463",14.4
CO,Mineral,72,9.3
CO,Moffat,"1,614",12.3
CO,Montezuma,"4,235",16.3
CO,Montrose,"4,854",11.6
CO,Morgan,"3,409",12.2
CO,Otero,"3,722",20.8
CO,Ouray,361,7.5
CO,Park,"1,487",8.1
CO,Phillips,458,10.8
CO,Pitkin,"1,222",6.8
CO,Prowers,"2,553",21.6
CO,Pueblo,"28,127",17.2
CO,Rio Blanco,653,10.8
CO,Rio Grande,"1,604",14.5
CO,Routt,"1,783",7.0
CO,Saguache,"1,679",24.6
CO,San Juan,109,14.4
CO,San Miguel,702,8.6
CO,Sedgwick,338,14.9
CO,Summit,"2,056",6.7
CO,Teller,"1,851",7.4
CO,Washington,646,13.7
CO,Weld,"32,314",10.5
CO,Yuma,"1,191",12.1
CT,Fairfield,"92,971",10.0
CT,Hartford,"96,957",11.2
CT,Litchfield,"12,441",6.9
CT,Middlesex,"10,556",6.7
CT,New Haven,"96,563",11.6
CT,New London,"25,063",9.8
CT,Tolland,"10,835",8.0
CT,Windham,"13,135",11.7
DE,Kent,"23,966",13.8
DE,New Castle,"62,976",11.6
DE,Sussex,"27,750",12.3
FL,Alachua,"50,922",19.8
FL,Baker,"3,944",15.4
FL,Bay,"24,276",13.4
FL,Bradford,"4,618",19.5
FL,Brevard,"64,854",11.0
FL,Broward,"244,310",12.6
FL,Calhoun,"2,697",21.3
FL,Charlotte,"20,243",11.1
FL,Citrus,"22,082",15.2
FL,Clay,"18,846",8.8
FL,Collier,"39,689",10.6
